,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
0,BT,10,11,11,11,11,10,11,2,,3,,2,
1,BT,11,11,11,11,11,11,11,2,2,1,3,2,2
2,BT,11,11,11,11,11,10,11,2,2,1,1,2,2
3,BT,11,10,10,11,11,11,11,2,2,3,1,2,2
4,BT,11,11,11,11,11,11,11,3,2,3,3,3,2
5,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
6,BT,10,10,10,10,11,11,11,2,0,2,0,2,0
7,BT,10,10,10,10,10,10,10,1,2,1,2,1,2
8,BT,11,11,11,11,11,11,11,2,1,3,1,2,1
9,BT,10,10,10,10,10,10,10,1,2,0,3,1,2
10,BT,10,11,11,10,10,10,10,2,1,1,0,1,1
11,BT,11,11,11,11,11,11,11,3,2,3,1,3,1
12,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
13,BT,10,10,10,10,10,10,11,2,0,0,0,1,0
14,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
15,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
16,BT,10,10,10,10,10,10,10,2,0,1,0,1,0
17,BT,11,11,11,11,11,11,11,3,2,3,1,3,1
18,BT,10,10,10,10,10,10,10,1,3,0,3,1,3
19,BT,10,10,10,10,10,10,10,1,1,0,0,1,1
20,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
21,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
22,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
23,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
24,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
25,BT,10,10,10,10,10,10,10,1,0,0,1,1,0
26,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
27,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
28,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
29,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
30,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
31,BT,10,10,10,11,11,11,11,2,0,2,1,2,0
32,BT,11,11,11,11,11,11,11,2,2,2,2,2,2
33,BT,10,10,10,10,10,10,10,0,2,1,2,0,2
34,BT,10,10,10,11,11,11,11,2,0,0,1,2,0
35,BT,11,11,11,11,11,11,11,2,2,3,0,3,2
36,BT,10,10,10,10,10,10,10,0,2,0,3,0,3
37,BT,10,10,10,10,10,11,10,2,0,0,0,1,0
38,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
39,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
40,BT,10,10,10,10,10,10,10,2,0,1,1,2,0
41,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
42,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
43,BT,10,10,10,10,10,10,10,2,0,1,1,2,0
44,BT,10,10,11,10,10,10,11,2,2,2,1,2,2
45,BT,11,11,11,11,11,11,11,1,2,3,2,2,2
46,BT,10,10,10,10,10,10,10,2,1,0,3,1,2
47,BT,11,10,10,10,10,10,10,1,2,2,0,1,1
48,BT,11,11,11,11,11,11,11,3,1,3,2,3,1
49,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
50,BT,10,10,10,10,10,11,11,2,0,0,0,1,0
51,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
52,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
53,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
54,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
