,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
1538,CG,11,11,11,11,11,11,11,2,1,1
1539,CG,10,10,10,10,10,10,10,1,2,2
1540,CG,10,11,11,10,10,10,11,2,2,2
1541,CG,10,10,10,10,10,10,10,1,1,1
1542,CG,10,11,11,11,11,10,11,2,3,2
1543,CG,10,10,11,10,10,10,11,1,2,1
1544,CG,10,11,11,11,11,10,11,2,2,2
1545,CG,10,11,11,11,11,10,11,2,0,2
1546,CG,10,11,11,11,11,10,11,2,1,2
1547,CG,10,11,11,11,11,10,11,2,1,2
1548,CG,10,11,11,11,11,10,11,2,1,2
1549,CG,10,11,11,11,11,10,11,2,1,2
1550,CG,10,11,11,11,11,11,11,2,1,2
1551,CG,10,11,11,11,11,11,11,2,3,2
1552,CG,11,11,11,11,11,11,11,2,3,2
1553,CG,11,11,11,11,11,10,11,2,3,3
1554,CG,11,11,11,11,11,11,11,2,2,2
1555,CG,10,10,10,10,10,10,10,1,1,1
1556,CG,11,11,11,11,11,11,11,2,2,2
1557,CG,10,10,10,10,10,10,10,1,2,1
1558,CG,10,11,11,11,11,11,11,2,1,1
1559,CG,10,10,10,10,10,10,10,1,2,1
1560,CG,11,11,11,11,11,11,11,2,1,2
1561,CG,11,10,10,10,10,11,10,1,2,1
1562,CG,11,11,11,11,11,11,11,2,2,2
1563,CG,11,11,11,11,11,11,11,2,3,2
1564,CG,11,10,10,10,10,10,10,1,1,1
1565,CG,10,10,10,10,10,10,10,1,0,1
1566,CG,10,11,11,10,10,11,11,1,0,1
1567,CG,11,11,11,11,11,11,11,2,3,2
1568,CG,11,10,10,10,10,10,10,1,2,2
1569,CG,10,11,10,10,10,10,11,2,1,2
1570,CG,10,10,10,11,11,11,10,1,1,1
1571,CG,11,11,11,11,11,11,11,2,2,2
1572,CG,11,11,10,11,11,10,10,1,1,1
1573,CG,10,10,10,10,10,10,10,1,1,1
1574,CG,11,11,11,11,11,11,11,2,2,2
1575,CG,10,10,10,10,10,10,10,1,2,1
1576,CG,10,11,11,10,10,10,11,1,1,1
1577,CG,10,10,10,10,10,11,11,2,1,2
1578,CG,11,11,11,11,11,11,10,2,1,1
1579,CG,10,10,10,10,10,11,10,2,2,2
1580,CG,11,11,11,11,11,11,11,2,1,2
1581,CG,11,11,11,10,10,11,10,1,2,2
1582,CG,10,10,10,10,10,10,10,1,1,1
1583,CG,11,11,11,11,11,11,11,2,2,2
1584,CG,10,10,10,10,10,10,10,1,0,1
1585,CG,10,11,11,11,11,11,11,2,3,2
1586,CG,11,10,10,10,10,10,10,1,1,1
1587,CG,11,11,11,11,11,11,11,2,1,1
1588,CG,10,11,11,11,11,11,11,2,2,2
1589,CG,10,10,10,10,10,10,10,1,0,1
1590,CG,11,11,11,11,11,11,11,2,3,2
1591,CG,11,10,10,10,10,10,10,1,2,1
1592,CG,10,11,11,11,11,11,11,2,2,2
1593,CG,11,10,11,11,11,11,10,1,1,1
1594,CG,10,11,11,10,10,10,10,1,1,1
1595,CG,10,10,10,10,10,10,10,1,2,1
1596,CG,10,11,11,10,11,11,11,2,0,1
1597,CG,11,11,11,11,11,11,11,2,3,2
1598,CG,11,11,11,10,10,10,10,1,1,1
1599,CG,11,11,11,11,11,11,11,2,1,2
1600,CG,10,10,10,10,10,10,10,1,1,1
1601,CG,11,11,11,11,11,11,11,2,2,2
1602,CG,10,10,10,10,10,11,10,1,2,1
1603,CG,11,11,11,11,11,11,11,2,1,2
1604,CG,11,11,11,11,11,11,11,2,1,2
1605,CG,11,10,10,10,10,10,10,1,2,1
1606,CG,10,11,11,11,11,11,11,2,2,2
1607,CG,11,11,11,10,10,10,10,1,1,1
1608,CG,10,11,10,11,11,10,10,2,2,2
1609,CG,11,11,11,11,11,10,11,1,1,1
1610,CG,10,11,11,11,11,11,11,2,0,1
1611,CG,11,10,10,10,10,11,10,1,3,2
1612,CG,10,11,11,11,11,11,11,2,1,2
1613,CG,11,11,11,11,11,11,11,2,3,2
1614,CG,10,10,10,10,10,10,10,1,1,1
1615,CG,10,11,11,10,10,10,10,1,1,1
1616,CG,10,10,10,10,10,10,10,1,2,1
1617,CG,11,11,11,11,11,11,11,2,2,2
1618,CG,11,10,10,10,10,10,10,1,1,1
1619,CG,10,11,10,10,10,10,11,2,0,1
1620,CG,11,11,11,11,11,11,11,2,2,2
1621,CG,11,10,10,10,10,10,10,1,3,1
1622,CG,10,11,11,11,11,11,11,2,2,2
1623,CG,11,10,10,10,10,10,10,1,1,1
1624,CG,10,11,11,11,11,10,11,2,2,2
1625,CG,11,11,11,11,11,11,11,2,2,2
1626,CG,11,11,11,11,11,11,11,2,2,2
1627,CG,11,11,11,11,11,11,11,2,1,2
1628,CG,10,10,10,10,10,10,10,1,1,1
1629,CG,10,10,10,10,10,10,10,1,1,1
1630,CG,11,11,11,11,11,11,11,2,2,2
1631,CG,11,11,11,11,11,11,11,2,2,2
1632,CG,10,10,10,10,10,10,10,1,1,1
1633,CG,10,10,10,10,10,10,10,1,1,1
1634,CG,11,11,11,11,11,11,11,2,2,2
1635,CG,10,11,11,11,11,11,11,2,1,2
1636,CG,11,11,11,11,11,11,11,2,2,2
1637,CG,10,10,10,10,10,10,10,1,0,1
1638,CG,11,11,11,11,11,11,11,2,3,2
1639,CG,11,10,10,10,10,10,10,1,2,1
1640,CG,10,10,10,10,10,10,10,1,2,1
1641,CG,10,10,10,10,10,10,10,1,0,1
1642,CG,11,11,11,11,11,11,11,2,3,2
1643,CG,11,10,10,10,10,10,10,1,1,1
1644,CG,10,10,10,11,11,10,11,1,1,1
1645,CG,10,10,10,10,10,10,10,1,1,1
1646,CG,11,11,11,11,11,11,11,2,3,2
1647,CG,11,11,11,10,10,10,11,2,2,2
1648,CG,10,10,10,10,10,10,10,1,1,1
