,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
1538,CG,127,2,2,1,1,1,1
1539,CG,0,1,2,2,1,2,1
1540,CG,70,2,1,2,2,2,2
1541,CG,0,1,2,1,2,1,2
1542,CG,94,2,1,3,1,2,1
1543,CG,68,1,2,2,3,1,2
1544,CG,94,2,1,2,2,2,1
1545,CG,94,2,2,0,2,2,2
1546,CG,94,2,2,1,0,2,2
1547,CG,94,2,2,1,1,2,2
1548,CG,94,2,2,1,1,2,2
1549,CG,94,2,2,1,1,2,2
1550,CG,126,2,2,1,1,2,2
1551,CG,126,2,2,3,1,2,2
1552,CG,127,2,2,3,3,2,2
1553,CG,95,2,2,3,3,3,2
1554,CG,127,2,2,2,3,2,3
1555,CG,0,1,2,1,2,1,2
1556,CG,127,2,1,2,1,2,1
1557,CG,0,1,2,2,2,1,2
1558,CG,126,2,1,1,2,1,1
1559,CG,0,1,2,2,1,1,1
1560,CG,127,2,1,1,2,2,1
1561,CG,33,1,2,2,1,1,2
1562,CG,127,2,1,2,2,2,1
1563,CG,127,2,2,3,2,2,2
1564,CG,1,1,2,1,3,1,2
1565,CG,0,1,1,0,1,1,1
1566,CG,102,1,1,0,0,1,1
1567,CG,127,2,1,3,0,2,1
1568,CG,1,1,2,2,3,2,2
1569,CG,66,2,1,1,2,2,2
1570,CG,56,1,2,1,1,1,2
1571,CG,127,2,1,2,1,2,1
1572,CG,27,1,2,1,2,1,2
1573,CG,0,1,1,1,1,1,1
1574,CG,127,2,1,2,1,2,1
1575,CG,0,1,2,2,2,1,2
1576,CG,70,1,1,1,2,1,1
1577,CG,96,2,1,1,1,2,1
1578,CG,63,2,2,1,1,1,2
1579,CG,32,2,2,2,1,2,1
1580,CG,127,2,2,1,2,2,2
1581,CG,39,1,2,2,1,2,2
1582,CG,0,1,1,1,2,1,2
1583,CG,127,2,1,2,1,2,1
1584,CG,0,1,2,0,2,1,2
1585,CG,126,2,1,3,0,2,1
1586,CG,1,1,2,1,3,1,2
1587,CG,127,2,1,1,1,1,1
1588,CG,126,2,2,2,1,2,1
1589,CG,0,1,2,0,2,1,2
1590,CG,127,2,1,3,0,2,1
1591,CG,1,1,2,2,3,1,2
1592,CG,126,2,1,2,2,2,1
1593,CG,61,1,2,1,2,1,2
1594,CG,6,1,1,1,1,1,1
1595,CG,0,1,1,2,1,1,1
1596,CG,118,2,1,0,2,1,1
1597,CG,127,2,2,3,0,2,1
1598,CG,7,1,2,1,3,1,2
1599,CG,127,2,1,1,1,2,1
