,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
3591,EP,10,11,11,11,11,10,11,2,1,2
3592,EP,10,11,11,11,11,11,11,2,0,2
3593,EP,11,11,11,11,11,11,11,2,3,2
3594,EP,11,11,11,11,11,11,11,2,3,2
3595,EP,11,11,11,11,11,11,11,2,3,3
3596,EP,11,11,11,11,11,11,11,2,2,2
3597,EP,11,11,11,10,10,11,10,2,1,1
3598,EP,10,10,11,10,10,11,11,1,1,1
3599,EP,11,11,11,11,11,11,11,2,2,2
3600,EP,11,11,11,10,10,11,10,1,1,1
3601,EP,10,10,11,11,11,11,11,2,2,2
3602,EP,10,11,10,10,10,11,11,2,3,2
3603,EP,11,11,11,11,11,11,11,1,1,1
3604,EP,10,10,10,10,10,11,11,2,1,1
3605,EP,11,11,11,11,11,11,11,2,0,1
3606,EP,11,10,10,10,10,11,10,1,2,2
3607,EP,10,11,11,11,11,11,11,1,1,1
3608,EP,11,11,10,10,10,11,11,2,2,2
3609,EP,11,11,11,11,11,11,11,1,1,1
3610,EP,10,10,10,10,10,11,11,1,1,1
3611,EP,10,11,11,11,11,11,11,2,2,2
3612,EP,10,11,11,10,10,10,10,1,2,2
3613,EP,10,11,11,10,10,11,11,1,1,1
3614,EP,11,11,11,11,11,11,11,2,2,2
3615,EP,11,11,11,10,10,11,11,1,3,2
3616,EP,10,11,11,11,11,10,11,2,1,2
3617,EP,10,11,11,10,10,11,11,1,0,1
3618,EP,11,11,11,10,10,11,11,1,1,1
3619,EP,10,11,11,11,11,10,11,2,2,2
3620,EP,11,11,11,10,10,11,10,1,2,2
3621,EP,10,11,11,11,11,11,11,2,2,2
3622,EP,10,11,11,11,11,10,11,2,1,1
3623,EP,11,11,10,10,10,11,10,1,2,2
3624,EP,11,11,11,11,11,11,11,2,2,2
3625,EP,11,11,10,10,10,11,11,2,1,1
3626,EP,10,11,11,11,11,11,11,2,1,1
3627,EP,10,11,11,10,10,10,10,1,1,1
3628,EP,10,11,11,11,11,11,11,2,1,2
3629,EP,11,11,11,11,11,11,11,1,0,1
3630,EP,11,11,11,10,10,11,10,1,3,2
3631,EP,10,11,11,11,11,11,11,2,1,1
3632,EP,10,10,10,10,10,10,11,1,1,1
3633,EP,11,11,11,11,11,11,11,2,2,2
3634,EP,11,11,11,11,11,11,11,2,2,2
3635,EP,10,10,10,10,10,11,11,1,2,1
3636,EP,10,11,11,11,11,10,11,2,2,2
3637,EP,10,11,11,11,11,11,10,2,1,1
3638,EP,11,11,11,10,10,11,11,2,2,2
3639,EP,11,11,11,11,11,11,11,2,1,1
3640,EP,10,11,11,10,10,11,11,2,2,2
3641,EP,10,11,11,11,11,10,11,2,2,2
3642,EP,10,10,10,10,10,11,10,1,1,1
3643,EP,11,11,11,11,11,11,11,2,1,2
3644,EP,11,10,11,10,10,11,11,2,2,2
3645,EP,10,10,10,10,10,10,10,1,2,2
3646,EP,10,11,11,11,11,11,11,2,1,2
3647,EP,10,10,11,10,10,10,10,1,1,1
3648,EP,10,11,11,11,11,11,11,2,2,2
3649,EP,11,11,11,11,11,11,11,2,2,2
3650,EP,11,11,11,10,10,11,11,1,1,1
3651,EP,10,11,11,11,11,10,11,2,2,2
3652,EP,10,10,10,10,10,11,11,1,3,2
3653,EP,11,11,11,11,11,11,11,2,0,1
3654,EP,10,11,11,10,10,10,11,1,1,1
3655,EP,11,10,10,10,10,11,11,1,1,1
3656,EP,11,11,11,11,11,11,11,2,2,2
3657,EP,11,11,11,11,11,11,11,2,2,2
3658,EP,10,10,10,10,10,11,11,2,2,2
3659,EP,10,11,11,10,10,10,11,1,2,1
3660,EP,10,11,11,11,11,11,10,2,1,1
3661,EP,11,11,11,11,11,11,11,2,2,2
3662,EP,10,11,10,10,10,11,11,1,2,2
3663,EP,10,11,11,11,11,11,11,2,1,2
3664,EP,10,10,10,10,10,10,10,1,3,2
