,Application,variable,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
3591,EP,94,2,1,2
3592,EP,126,2,0,2
3593,EP,127,2,3,2
3594,EP,127,2,3,2
3595,EP,127,2,3,3
3596,EP,127,2,2,2
3597,EP,39,2,1,1
3598,EP,100,1,1,1
3599,EP,127,2,2,2
3600,EP,39,1,1,1
3601,EP,124,2,2,2
3602,EP,98,2,3,2
3603,EP,127,1,1,1
3604,EP,96,2,1,1
3605,EP,127,2,0,1
3606,EP,33,1,2,2
3607,EP,126,1,1,1
3608,EP,99,2,2,2
3609,EP,127,1,1,1
3610,EP,96,1,1,1
3611,EP,126,2,2,2
3612,EP,6,1,2,2
3613,EP,102,1,1,1
3614,EP,127,2,2,2
3615,EP,103,1,3,2
3616,EP,94,2,1,2
3617,EP,102,1,0,1
3618,EP,103,1,1,1
3619,EP,94,2,2,2
3620,EP,39,1,2,2
3621,EP,126,2,2,2
3622,EP,94,2,1,1
3623,EP,35,1,2,2
3624,EP,127,2,2,2
3625,EP,99,2,1,1
3626,EP,126,2,1,1
3627,EP,6,1,1,1
3628,EP,126,2,1,2
3629,EP,127,1,0,1
3630,EP,39,1,3,2
3631,EP,126,2,1,1
3632,EP,64,1,1,1
3633,EP,127,2,2,2
3634,EP,127,2,2,2
3635,EP,96,1,2,1
3636,EP,94,2,2,2
3637,EP,62,2,1,1
3638,EP,103,2,2,2
3639,EP,127,2,1,1
3640,EP,102,2,2,2
3641,EP,94,2,2,2
3642,EP,32,1,1,1
3643,EP,127,2,1,2
3644,EP,101,2,2,2
3645,EP,0,1,2,2
3646,EP,126,2,1,2
3647,EP,4,1,1,1
3648,EP,126,2,2,2
3649,EP,127,2,2,2
3650,EP,103,1,1,1
3651,EP,94,2,2,2
3652,EP,96,1,3,2
3653,EP,127,2,0,1
3654,EP,70,1,1,1
3655,EP,97,1,1,1
3656,EP,127,2,2,2
3657,EP,127,2,2,2
3658,EP,96,2,2,2
3659,EP,70,1,2,1
3660,EP,62,2,1,1
3661,EP,127,2,2,2
3662,EP,98,1,2,2
3663,EP,126,2,1,2
3664,EP,0,1,3,2
3665,EP,101,2,1,1
3666,EP,127,2,2,2
3667,EP,32,1,2,2
3668,EP,126,2,0,1
3669,EP,70,1,2,1
3670,EP,39,2,2,2
3671,EP,127,2,2,2
3672,EP,127,2,0,1
3673,EP,36,1,2,2
3674,EP,2,1,1,1
3675,EP,127,2,2,2
3676,EP,70,1,0,1
3677,EP,70,1,0,1
3678,EP,127,1,0,1
3679,EP,7,1,0,1
3680,EP,48,1,2,2
3681,EP,127,2,0,1
3682,EP,0,1,3,1
3683,EP,0,1,1,1
3684,EP,33,1,2,1
3685,EP,94,2,2,2
3686,EP,94,2,0,2
3687,EP,127,2,3,2
3688,EP,95,2,3,2
3689,EP,94,2,2,2
3690,EP,103,2,1,1
3691,EP,126,2,0,1
3692,EP,127,2,3,2
3693,EP,36,1,1,1
3694,EP,126,2,2,2
3695,EP,127,2,0,1
3696,EP,102,2,2,2
3697,EP,103,1,1,1
3698,EP,126,2,3,2
3699,EP,103,1,0,1
3700,EP,39,1,1,1
3701,EP,122,2,0,1
3702,EP,39,1,3,2
3703,EP,122,2,2,2
3704,EP,54,2,2,2
3705,EP,99,1,1,1
3706,EP,111,2,2,2
3707,EP,58,1,0,1
3708,EP,127,2,1,2
3709,EP,0,1,1,1
3710,EP,126,2,2,2
3711,EP,103,1,3,2
3712,EP,64,1,0,1
3713,EP,127,2,2,2
3714,EP,125,2,2,2
3715,EP,63,2,1,1
3716,EP,103,2,3,2
3717,EP,42,2,0,1
3718,EP,126,2,1,2
3719,EP,34,1,3,2
3720,EP,102,2,1,2
3721,EP,63,2,2,2
3722,EP,98,1,2,2
3723,EP,102,1,0,1
3724,EP,126,2,2,2
3725,EP,38,2,2,2
3726,EP,63,2,1,1
3727,EP,122,2,1,1
3728,EP,39,2,3,2
3729,EP,100,1,2,2
3730,EP,62,2,0,1
3731,EP,39,1,2,2
3732,EP,126,2,1,1
3733,EP,63,2,3,2
3734,EP,2,1,0,1
3735,EP,102,1,3,2
3736,EP,127,2,0,1
3737,EP,103,1,1,1
3738,EP,95,2,2,2
3739,EP,103,2,1,1
3740,EP,122,2,2,2
3741,EP,108,1,1,1
3742,EP,103,2,2,2
3743,EP,127,2,1,1
3744,EP,127,2,1,1
3745,EP,102,2,3,2
3746,EP,101,1,1,1
3747,EP,126,2,1,1
3748,EP,103,1,3,2
3749,EP,127,2,1,1
3750,EP,68,1,1,1
3751,EP,102,2,3,2
3752,EP,111,1,1,1
3753,EP,126,2,2,2
3754,EP,102,1,1,1
3755,EP,37,1,2,2
3756,EP,126,2,1,2
3757,EP,103,1,2,2
3758,EP,127,1,1,1
3759,EP,126,2,1,2
3760,EP,103,1,2,2
3761,EP,22,1,1,1
3762,EP,111,2,2,2
3763,EP,0,1,1,1
3764,EP,0,1,2,1
3765,EP,127,2,1,1
3766,EP,127,2,3,2
3767,EP,31,1,2,1
3768,EP,100,2,1,1
3769,EP,39,1,1,1
3770,EP,126,2,1,1
3771,EP,71,1,1,1
3772,EP,102,1,0,1
3773,EP,1,1,0,1
3774,EP,100,1,1,1
3775,EP,39,1,1,1
3776,EP,66,2,3,2
3777,EP,127,2,1,1
3778,EP,33,1,3,1
