,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
3779,FT,11,11,11,11,11,10,11,2,2,2
3780,FT,11,11,11,11,11,11,11,2,2,2
3781,FT,11,10,10,10,10,10,10,1,3,1
3782,FT,10,11,11,11,11,10,11,3,3,3
3783,FT,11,11,11,11,11,11,11,3,3,3
3784,FT,11,11,11,11,11,11,11,2,3,3
3785,FT,11,11,11,11,11,11,11,2,2,2
3786,FT,11,11,11,11,11,11,11,2,2,2
3787,FT,10,10,10,10,10,10,10,1,1,1
3788,FT,10,10,10,10,10,10,10,1,1,1
3789,FT,11,11,11,11,11,11,11,2,2,2
3790,FT,10,10,10,10,10,10,10,0,0,0
3791,FT,10,10,10,10,10,10,10,0,0,0
3792,FT,10,10,10,10,10,10,10,1,1,1
3793,FT,10,11,11,11,11,11,11,2,1,2
3794,FT,11,11,11,10,10,10,10,1,2,2
3795,FT,11,11,11,11,11,11,11,2,2,2
3796,FT,11,11,11,11,11,11,11,2,2,2
3797,FT,10,10,10,10,10,10,10,1,1,1
3798,FT,10,10,10,10,10,10,10,1,1,1
3799,FT,10,10,10,10,10,10,10,0,0,0
3800,FT,10,10,10,10,10,10,10,2,0,1
3801,FT,10,10,10,10,10,10,11,1,0,1
3802,FT,11,11,11,11,11,11,11,3,3,3
3803,FT,11,11,11,11,11,11,11,1,3,2
3804,FT,11,11,11,11,11,11,11,2,2,2
3805,FT,10,10,10,10,10,10,10,1,1,1
3806,FT,10,10,10,10,10,10,11,2,1,1
3807,FT,10,11,11,10,10,10,11,1,1,1
3808,FT,11,11,10,10,10,10,10,1,1,1
3809,FT,10,10,10,10,10,10,10,1,1,1
3810,FT,10,10,10,10,10,10,10,0,0,0
3811,FT,10,10,10,10,10,10,11,1,0,0
3812,FT,11,11,11,11,11,11,11,2,2,2
3813,FT,10,10,10,11,11,11,10,3,3,3
3814,FT,11,11,11,11,11,11,11,3,3,3
3815,FT,11,11,11,11,11,11,11,2,3,2
3816,FT,11,10,10,10,10,10,10,1,1,1
3817,FT,10,10,10,10,10,10,11,2,2,2
3818,FT,10,10,11,11,11,11,11,2,2,2
3819,FT,11,11,10,10,10,10,10,1,2,1
3820,FT,10,10,11,11,11,11,11,2,2,2
3821,FT,11,11,10,10,10,10,10,1,1,1
3822,FT,10,10,10,10,10,10,10,2,2,2
3823,FT,10,11,11,10,10,11,11,2,2,2
3824,FT,11,11,11,11,11,10,10,1,1,1
3825,FT,10,11,11,11,11,11,11,2,2,2
3826,FT,11,10,10,10,10,10,10,1,2,1
3827,FT,10,10,10,10,11,11,10,2,1,1
3828,FT,10,11,11,11,11,11,11,2,1,2
3829,FT,10,10,10,10,10,10,10,1,2,1
3830,FT,10,10,10,11,11,11,11,2,1,2
3831,FT,11,10,11,10,10,10,10,1,2,1
3832,FT,10,10,10,10,10,10,10,1,1,1
3833,FT,10,10,10,10,10,10,10,1,0,0
3834,FT,10,10,10,10,10,10,10,0,0,0
3835,FT,10,11,11,11,11,11,11,2,3,2
3836,FT,11,11,11,11,11,11,11,3,3,3
3837,FT,11,11,11,11,11,10,10,1,2,1
3838,FT,10,10,10,10,10,11,11,2,1,2
3839,FT,10,11,11,11,11,11,11,2,2,2
