,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
3779,FT,95,2,2,2,2,2,2
3780,FT,127,2,2,2,2,2,2
3781,FT,1,1,2,3,2,1,2
3782,FT,94,3,1,3,3,3,1
3783,FT,127,3,3,3,3,3,3
3784,FT,127,2,3,3,3,3,3
3785,FT,127,2,2,2,3,2,3
3786,FT,127,2,2,2,2,2,2
3787,FT,0,1,2,1,2,1,2
3788,FT,0,1,1,1,1,1,1
3789,FT,127,2,1,2,1,2,1
3790,FT,0,0,2,0,2,0,2
3791,FT,0,0,0,0,0,0,0
3792,FT,0,1,0,1,0,1,0
3793,FT,126,2,1,1,1,2,1
3794,FT,7,1,2,2,1,2,2
3795,FT,127,2,1,2,2,2,2
3796,FT,127,2,2,2,2,2,2
3797,FT,0,1,2,1,2,1,2
3798,FT,0,1,1,1,1,1,1
3799,FT,0,0,1,0,1,0,1
3800,FT,0,2,0,0,0,1,0
3801,FT,64,1,2,0,0,1,1
3802,FT,127,3,1,3,0,3,1
3803,FT,127,1,3,3,3,2,3
3804,FT,127,2,1,2,3,2,2
3805,FT,0,1,2,1,2,1,2
3806,FT,64,2,1,1,1,1,1
3807,FT,70,1,2,1,1,1,1
3808,FT,3,1,1,1,1,1,1
3809,FT,0,1,1,1,1,1,1
3810,FT,0,0,1,0,1,0,1
3811,FT,64,1,0,0,0,0,0
3812,FT,127,2,1,2,0,2,0
3813,FT,56,3,2,3,2,3,2
3814,FT,127,3,3,3,3,3,3
3815,FT,127,2,3,3,3,2,3
3816,FT,1,1,2,1,3,1,2
3817,FT,64,2,1,2,1,2,1
3818,FT,124,2,2,2,2,2,2
3819,FT,3,1,2,2,2,1,2
3820,FT,124,2,1,2,2,2,1
3821,FT,3,1,2,1,2,1,2
3822,FT,0,2,1,2,1,2,1
3823,FT,102,2,2,2,2,2,2
3824,FT,31,1,2,1,2,1,2
3825,FT,126,2,1,2,1,2,1
3826,FT,1,1,2,2,2,1,2
3827,FT,48,2,1,1,2,1,1
3828,FT,126,2,2,1,1,2,1
3829,FT,0,1,2,2,1,1,2
3830,FT,120,2,1,1,2,2,1
3831,FT,5,1,2,2,1,1,2
3832,FT,0,1,1,1,2,1,1
3833,FT,0,1,1,0,1,0,1
3834,FT,0,0,1,0,0,0,0
3835,FT,126,2,0,3,0,2,0
3836,FT,127,3,2,3,3,3,2
3837,FT,31,1,3,2,3,1,3
3838,FT,96,2,1,1,2,2,1
3839,FT,126,2,2,2,1,2,2
3840,FT,61,1,2,1,2,1,2
3841,FT,127,2,1,2,1,2,1
3842,FT,31,1,2,2,2,1,2
3843,FT,0,2,1,1,2,2,1
3844,FT,127,2,2,1,1,2,2
3845,FT,2,1,2,1,1,1,2
3846,FT,2,1,1,2,1,1,1
3847,FT,100,2,1,2,2,2,1
3848,FT,33,1,2,1,2,1,2
3849,FT,127,2,1,2,1,2,1
3850,FT,0,1,2,1,2,1,2
3851,FT,0,1,1,1,1,1,1
3852,FT,64,1,1,1,1,1,1
3853,FT,103,1,1,0,1,0,1
3854,FT,127,3,1,3,0,3,0
3855,FT,0,0,3,3,3,0,3
3856,FT,94,2,0,0,3,1,0
3857,FT,127,3,2,3,0,3,1
3858,FT,25,2,3,3,3,2,3
3859,FT,127,2,2,2,3,2,2
3860,FT,1,1,2,1,2,1,2
3861,FT,127,2,1,2,1,2,1
3862,FT,120,2,2,2,2,2,2
3863,FT,0,1,2,1,2,1,2
3864,FT,127,2,1,2,1,2,1
3865,FT,0,1,2,2,2,1,2
3866,FT,126,2,1,2,2,2,1
3867,FT,127,2,2,2,2,2,2
3868,FT,0,1,2,1,2,1,2
3869,FT,126,2,1,2,1,2,1
3870,FT,127,2,2,2,2,2,2
3871,FT,0,1,2,1,2,1,2
3872,FT,127,2,1,2,1,2,1
3873,FT,1,1,2,1,2,1,2
3874,FT,0,1,1,1,1,1,1
3875,FT,0,0,1,0,1,0,1
3876,FT,126,3,0,1,0,3,0
3877,FT,127,2,3,3,1,2,3
3878,FT,127,2,2,3,3,2,2
3879,FT,1,1,2,1,3,1,2
3880,FT,126,2,1,2,1,2,1
3881,FT,0,1,2,1,2,1,2
3882,FT,0,1,1,1,1,1,1
3883,FT,126,2,1,2,1,2,1
3884,FT,0,1,2,1,2,1,2
3885,FT,0,0,1,1,1,0,1
3886,FT,0,1,0,0,1,0,0
3887,FT,127,3,1,3,0,3,0
3888,FT,31,2,3,3,3,2,3
3889,FT,0,1,2,1,3,1,2
3890,FT,64,2,1,2,1,2,1
3891,FT,127,2,2,2,2,2,2
3892,FT,1,1,2,1,2,1,2
3893,FT,0,1,1,1,1,1,1
3894,FT,127,2,1,2,1,2,1
3895,FT,1,1,2,1,2,1,2
3896,FT,71,1,1,1,1,1,1
3897,FT,0,1,1,2,1,1,1
3898,FT,127,2,1,2,2,2,1
3899,FT,127,2,2,2,2,2,2
3900,FT,0,1,2,1,2,1,2
3901,FT,127,2,1,2,1,2,1
3902,FT,1,1,2,1,2,1,2
3903,FT,0,1,1,1,1,1,1
3904,FT,68,1,1,1,1,1,1
3905,FT,0,0,1,0,1,0,1
3906,FT,126,3,0,1,0,3,0
3907,FT,127,2,3,3,1,2,3
3908,FT,127,2,2,2,3,2,2
3909,FT,127,2,2,2,2,2,2
3910,FT,127,2,2,2,2,2,2
3911,FT,1,1,2,1,2,1,2
3912,FT,64,2,1,1,1,2,1
3913,FT,0,1,2,1,1,1,2
3914,FT,0,1,1,1,1,1,1
3915,FT,0,0,1,0,1,0,1
3916,FT,70,1,0,0,0,0,0
3917,FT,127,3,1,3,0,3,0
3918,FT,1,1,3,3,3,2,3
3919,FT,0,1,1,1,3,1,2
3920,FT,124,2,1,2,1,2,1
3921,FT,32,1,2,1,2,1,2
3922,FT,7,1,1,2,1,1,1
3923,FT,127,2,1,2,2,2,1
3924,FT,0,1,2,1,2,1,2
3925,FT,118,2,1,1,1,1,1
3926,FT,127,2,2,2,1,2,1
3927,FT,1,1,2,1,2,1,2
3928,FT,96,2,1,2,1,2,1
3929,FT,127,2,2,2,2,2,2
3930,FT,1,1,2,1,2,1,2
3931,FT,0,1,1,1,1,1,1
3932,FT,124,2,1,2,1,2,1
3933,FT,5,1,2,2,2,1,2
3934,FT,127,2,1,2,2,2,1
3935,FT,0,0,2,0,2,0,2
3936,FT,126,2,0,1,0,2,0
3937,FT,127,2,2,3,1,2,2
3938,FT,127,2,2,2,3,2,2
3939,FT,127,2,2,2,2,2,2
3940,FT,0,1,2,2,2,1,2
3941,FT,127,2,1,1,2,2,1
3942,FT,32,2,2,2,1,2,2
3943,FT,0,1,2,1,2,1,2
3944,FT,0,1,1,1,1,1,1
3945,FT,0,0,1,0,1,0,1
3946,FT,0,1,0,0,0,0,0
3947,FT,127,3,1,3,0,3,0
3948,FT,9,1,3,3,3,1,3
3949,FT,0,2,1,2,3,2,1
3950,FT,127,2,2,2,2,2,2
3951,FT,1,1,2,1,2,1,2
3952,FT,102,2,1,2,1,2,1
3953,FT,90,1,2,1,2,1,2
3954,FT,68,1,1,1,1,1,1
3955,FT,127,2,1,2,1,2,1
3956,FT,1,1,2,1,2,1,2
3957,FT,0,1,1,1,1,1,1
3958,FT,127,2,1,2,1,2,1
3959,FT,0,1,2,1,2,1,2
3960,FT,0,1,1,1,1,1,1
3961,FT,127,2,1,2,1,2,1
3962,FT,15,1,2,1,2,1,2
3963,FT,127,2,1,2,1,2,1
3964,FT,0,1,2,1,2,1,2
3965,FT,0,0,1,0,1,0,1
3966,FT,126,3,0,0,0,2,0
3967,FT,127,3,3,3,0,3,2
3968,FT,31,1,3,1,3,1,3
3969,FT,0,1,1,1,1,1,1
3970,FT,79,1,1,1,1,1,1
3971,FT,127,2,1,2,1,2,1
3972,FT,0,1,2,1,2,1,2
3973,FT,0,1,1,1,1,1,1
3974,FT,0,1,1,1,1,1,1
3975,FT,0,0,1,1,1,0,1
3976,FT,0,1,0,0,1,0,0
3977,FT,127,3,1,3,0,3,0
3978,FT,31,1,3,3,3,2,3
3979,FT,112,2,1,2,3,2,2
3980,FT,1,1,2,2,2,1,2
3981,FT,7,1,1,1,2,1,1
3982,FT,0,1,1,1,1,1,1
3983,FT,71,1,1,2,1,1,1
3984,FT,60,1,1,1,2,1,1
3985,FT,96,1,1,1,1,1,1
3986,FT,127,1,1,1,1,1,1
3987,FT,0,1,1,1,1,1,1
3988,FT,127,2,1,2,1,2,1
3989,FT,0,1,2,1,2,1,2
3990,FT,1,1,1,1,1,1,1
3991,FT,126,2,1,1,1,2,1
3992,FT,111,2,2,2,1,2,2
3993,FT,127,2,2,2,2,2,2
3994,FT,0,1,2,1,2,1,2
3995,FT,0,0,1,0,1,0,1
3996,FT,126,3,0,2,0,3,0
3997,FT,63,2,3,2,2,2,3
3998,FT,127,2,2,2,2,2,2
3999,FT,127,2,2,2,2,2,2
4000,FT,1,1,2,1,2,1,2
4001,FT,126,2,1,2,1,2,1
4002,FT,124,2,2,2,2,2,2
4003,FT,1,1,2,1,2,1,2
4004,FT,0,1,1,1,1,1,1
4005,FT,0,0,1,1,1,0,1
4006,FT,0,1,0,0,1,0,0
4007,FT,127,3,1,3,0,3,0
4008,FT,1,1,3,3,3,1,3
4009,FT,96,2,1,2,3,2,1
4010,FT,127,2,2,2,2,2,2
4011,FT,3,1,2,1,2,1,2
4012,FT,126,2,1,2,1,2,1
4013,FT,2,1,2,1,2,1,2
4014,FT,124,2,1,1,1,2,1
4015,FT,127,2,2,2,1,2,2
4016,FT,3,1,2,1,2,1,2
4017,FT,70,2,1,2,1,2,1
4018,FT,127,2,2,2,2,2,2
4019,FT,31,1,2,1,2,1,2
4020,FT,0,1,1,1,1,1,1
4021,FT,126,2,1,2,1,2,1
4022,FT,7,1,2,1,2,1,2
4023,FT,124,2,1,2,1,2,1
4024,FT,13,1,2,1,2,1,2
4025,FT,0,0,1,0,1,0,1
4026,FT,126,2,0,1,0,2,0
