,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
5379,IS,10,11,11,11,11,10,11,2,2,2
5380,IS,11,11,11,11,11,11,11,2,1,2
5381,IS,11,11,11,11,11,11,11,2,1,2
5382,IS,11,11,11,11,11,11,11,2,3,2
5383,IS,10,11,11,11,11,10,11,2,1,2
5384,IS,10,10,10,10,10,10,10,2,3,2
5385,IS,11,11,11,11,11,11,11,3,3,3
5386,IS,11,11,11,11,11,11,11,1,3,2
5387,IS,10,10,10,10,10,10,10,0,1,0
5388,IS,10,11,11,11,11,11,11,3,1,2
5389,IS,11,10,10,10,10,10,10,1,2,1
5390,IS,10,11,11,10,11,11,11,3,1,2
5391,IS,11,10,10,11,11,10,10,1,2,1
5392,IS,10,11,11,10,10,11,11,2,1,2
5393,IS,10,10,10,11,11,10,10,1,2,1
5394,IS,10,10,10,10,10,11,11,2,2,2
5395,IS,11,11,11,11,11,10,11,1,2,1
5396,IS,11,11,11,10,10,11,11,2,1,2
5397,IS,11,11,11,11,11,10,10,1,3,1
5398,IS,10,10,10,10,10,10,10,2,0,1
5399,IS,11,11,11,11,11,11,11,1,3,2
5400,IS,11,10,10,10,10,10,10,2,0,1
5401,IS,10,10,11,11,11,11,10,1,2,1
5402,IS,10,11,11,10,10,10,11,2,0,2
5403,IS,11,11,10,11,11,10,10,1,2,1
5404,IS,11,11,11,10,10,11,11,2,2,2
5405,IS,11,10,10,11,11,10,10,1,2,1
5406,IS,10,10,10,10,10,11,10,2,1,2
5407,IS,10,11,11,11,11,10,10,1,1,1
5408,IS,10,10,11,10,10,11,11,2,1,2
5409,IS,10,10,10,11,11,10,10,1,1,1
5410,IS,10,10,11,10,10,11,10,2,2,2
5411,IS,10,10,10,10,10,10,10,1,1,1
5412,IS,11,10,10,10,10,11,10,0,0,0
5413,IS,10,10,10,10,10,10,10,1,0,1
5414,IS,10,11,11,11,11,10,11,2,3,2
5415,IS,11,11,11,11,11,10,11,2,0,2
5416,IS,11,11,11,11,11,11,11,2,1,2
5417,IS,11,10,10,10,10,11,10,0,3,0
5418,IS,10,11,11,11,11,10,11,3,0,3
5419,IS,10,11,11,10,10,11,11,2,1,1
5420,IS,11,11,11,11,11,11,11,3,3,3
5421,IS,11,11,11,11,11,11,11,2,3,2
5422,IS,10,10,10,10,10,10,10,0,0,0
5423,IS,10,11,11,11,11,11,11,3,3,3
5424,IS,10,10,10,10,10,10,10,0,0,0
5425,IS,10,11,11,11,11,11,11,3,2,3
5426,IS,11,10,10,10,10,10,10,0,1,0
5427,IS,10,11,11,11,11,11,11,3,2,3
5428,IS,10,10,10,10,10,10,10,0,1,0
5429,IS,10,11,11,11,11,11,11,2,2,2
5430,IS,11,10,10,10,10,10,10,1,1,1
5431,IS,10,11,11,10,11,11,11,2,2,2
5432,IS,11,10,11,11,11,10,10,1,2,1
5433,IS,10,11,11,10,10,11,11,2,1,2
5434,IS,11,10,10,11,11,10,10,1,2,1
5435,IS,10,10,10,10,10,11,11,2,0,2
5436,IS,11,11,11,11,11,10,11,1,3,1
5437,IS,10,11,11,10,10,11,11,2,1,2
5438,IS,11,10,10,11,11,10,11,1,2,1
5439,IS,10,11,10,10,10,11,11,2,0,2
5440,IS,10,11,11,11,11,10,11,1,3,1
5441,IS,10,10,10,10,10,11,10,2,1,2
5442,IS,10,11,11,11,11,10,11,1,2,1
5443,IS,10,10,10,10,10,10,10,2,1,1
5444,IS,10,10,10,11,11,10,10,2,1,1
5445,IS,10,10,10,10,10,10,10,1,2,1
5446,IS,10,10,10,10,10,10,10,1,1,1
5447,IS,11,10,10,10,10,11,10,0,0,0
5448,IS,10,10,10,10,10,10,10,2,0,1
