,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
5379,IS,94,2,2,2,2,2,2
5380,IS,127,2,2,1,2,2,2
5381,IS,127,2,2,1,1,2,2
5382,IS,127,2,2,3,1,2,2
5383,IS,94,2,2,1,3,2,2
5384,IS,0,2,2,3,1,2,2
5385,IS,127,3,2,3,3,3,2
5386,IS,127,1,3,3,3,2,3
5387,IS,0,0,1,1,3,0,2
5388,IS,126,3,0,1,1,2,0
5389,IS,1,1,3,2,1,1,2
5390,IS,118,3,1,1,2,2,1
5391,IS,25,1,3,2,1,1,2
5392,IS,102,2,1,1,2,2,1
5393,IS,24,1,2,2,1,1,2
5394,IS,96,2,1,2,2,2,1
5395,IS,95,1,2,2,2,1,2
5396,IS,103,2,1,1,2,2,1
5397,IS,31,1,2,3,1,1,2
5398,IS,0,2,1,0,3,1,1
5399,IS,127,1,2,3,0,2,1
5400,IS,1,2,1,0,3,1,2
5401,IS,60,1,2,2,0,1,1
5402,IS,70,2,1,0,2,2,1
5403,IS,27,1,2,2,0,1,2
5404,IS,103,2,1,2,2,2,1
5405,IS,25,1,2,2,2,1,2
5406,IS,32,2,1,1,2,2,1
5407,IS,30,1,2,1,1,1,2
5408,IS,100,2,1,1,1,2,1
5409,IS,24,1,2,1,1,1,2
5410,IS,36,2,1,2,1,2,1
5411,IS,0,1,2,1,2,1,2
5412,IS,33,0,1,0,1,0,1
5413,IS,0,1,0,0,0,1,0
5414,IS,94,2,1,3,0,2,1
5415,IS,95,2,2,0,3,2,2
5416,IS,127,2,2,1,0,2,2
5417,IS,33,0,2,3,1,0,2
5418,IS,94,3,0,0,3,3,0
5419,IS,102,2,3,1,0,1,3
5420,IS,127,3,2,3,1,3,1
5421,IS,127,2,3,3,3,2,3
5422,IS,0,0,2,0,3,0,2
5423,IS,126,3,0,3,0,3,0
5424,IS,0,0,3,0,3,0,3
5425,IS,126,3,0,2,0,3,0
5426,IS,1,0,3,1,2,0,3
5427,IS,126,3,0,2,1,3,0
5428,IS,0,0,3,1,2,0,3
5429,IS,126,2,0,2,1,2,0
5430,IS,1,1,2,1,2,1,2
5431,IS,118,2,1,2,1,2,1
5432,IS,29,1,2,2,2,1,2
5433,IS,102,2,1,1,2,2,1
5434,IS,25,1,2,2,1,1,2
5435,IS,96,2,1,0,2,2,1
5436,IS,95,1,2,3,0,1,2
5437,IS,102,2,1,1,3,2,1
5438,IS,89,1,2,2,1,1,2
5439,IS,98,2,1,0,2,2,1
5440,IS,94,1,2,3,0,1,2
5441,IS,32,2,1,1,3,2,1
5442,IS,94,1,2,2,1,1,2
5443,IS,0,2,1,1,2,1,1
5444,IS,24,2,2,1,1,1,1
5445,IS,0,1,2,2,1,1,1
5446,IS,0,1,1,1,2,1,1
5447,IS,33,0,1,0,1,0,1
5448,IS,0,2,0,0,0,1,0
