,Application,variable,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
5449,LU,94,2,1,2
5450,LU,94,2,2,2
5451,LU,127,2,3,2
5452,LU,127,3,3,3
5453,LU,0,0,0,0
5454,LU,127,3,3,3
5455,LU,127,2,3,2
5456,LU,0,0,0,0
5457,LU,1,0,3,0
5458,LU,126,3,1,3
5459,LU,0,0,0,0
5460,LU,127,3,3,3
5461,LU,0,0,0,0
5462,LU,24,1,3,1
5463,LU,127,3,1,3
5464,LU,1,0,0,0
5465,LU,126,3,2,3
5466,LU,1,0,2,0
5467,LU,127,3,3,3
5468,LU,0,0,0,0
5469,LU,126,2,2,2
5470,LU,0,2,0,1
5471,LU,31,1,3,1
5472,LU,127,3,0,3
5473,LU,0,0,2,0
5474,LU,127,3,2,3
5475,LU,1,0,0,0
5476,LU,127,3,3,3
5477,LU,0,0,0,0
5478,LU,24,1,3,1
5479,LU,127,3,0,3
5480,LU,0,0,2,0
5481,LU,127,3,1,3
5482,LU,1,0,2,0
5483,LU,127,3,3,3
5484,LU,0,0,0,0
5485,LU,120,1,3,2
5486,LU,100,2,0,2
5487,LU,31,1,3,1
5488,LU,126,3,2,3
5489,LU,0,0,2,1
5490,LU,127,3,2,3
5491,LU,1,0,0,0
5492,LU,127,3,2,3
5493,LU,0,0,0,0
5494,LU,88,1,3,1
5495,LU,127,3,0,3
5496,LU,0,0,3,1
5497,LU,126,3,1,2
5498,LU,0,0,1,0
5499,LU,127,3,3,3
5500,LU,0,0,0,0
5501,LU,124,2,3,2
5502,LU,0,2,0,2
5503,LU,31,1,3,1
5504,LU,127,3,0,2
5505,LU,0,0,2,1
5506,LU,127,3,2,3
5507,LU,1,0,0,0
5508,LU,127,3,3,3
5509,LU,0,0,0,0
5510,LU,88,1,3,1
5511,LU,127,3,0,3
5512,LU,1,0,3,1
5513,LU,126,3,1,3
5514,LU,0,0,1,0
5515,LU,127,3,3,3
5516,LU,0,0,0,0
5517,LU,127,2,3,3
5518,LU,0,1,0,1
5519,LU,31,1,3,1
5520,LU,127,3,0,3
5521,LU,0,0,3,0
5522,LU,126,3,1,3
5523,LU,7,0,0,0
5524,LU,127,3,3,3
5525,LU,0,0,0,0
5526,LU,120,1,3,2
5527,LU,96,2,0,2
5528,LU,31,1,3,1
5529,LU,127,3,0,3
5530,LU,0,0,2,0
5531,LU,127,3,2,3
5532,LU,1,0,1,0
5533,LU,127,3,3,3
5534,LU,0,0,0,0
5535,LU,120,1,3,2
5536,LU,96,2,0,2
5537,LU,31,1,3,1
5538,LU,127,3,2,3
5539,LU,0,0,3,1
5540,LU,127,3,0,2
5541,LU,1,0,3,0
5542,LU,127,3,3,3
5543,LU,0,0,0,0
5544,LU,120,1,3,2
5545,LU,96,2,0,2
5546,LU,31,1,3,1
5547,LU,127,3,1,3
5548,LU,0,0,3,0
5549,LU,127,3,1,3
5550,LU,1,0,1,0
5551,LU,127,3,3,3
5552,LU,0,0,0,0
5553,LU,124,2,3,2
5554,LU,0,2,0,1
5555,LU,31,1,3,1
5556,LU,127,3,0,3
5557,LU,0,0,3,0
5558,LU,126,3,1,3
5559,LU,1,0,1,0
5560,LU,127,3,3,3
5561,LU,0,0,0,0
5562,LU,126,2,3,2
5563,LU,0,1,0,1
5564,LU,94,1,3,1
5565,LU,103,2,0,2
5566,LU,31,1,3,1
5567,LU,127,3,0,3
5568,LU,0,0,3,0
5569,LU,127,3,0,2
5570,LU,0,0,3,1
5571,LU,127,3,3,3
5572,LU,0,0,0,0
5573,LU,127,3,3,3
5574,LU,0,1,0,0
5575,LU,120,1,3,1
5576,LU,96,2,0,2
5577,LU,31,1,3,1
5578,LU,127,3,0,3
5579,LU,0,0,3,0
5580,LU,127,3,0,2
5581,LU,0,0,3,1
5582,LU,127,3,3,3
5583,LU,1,0,0,0
5584,LU,127,3,3,3
5585,LU,0,0,0,0
5586,LU,120,1,3,1
5587,LU,0,2,0,2
5588,LU,95,1,3,1
5589,LU,127,3,1,3
5590,LU,1,0,3,1
5591,LU,127,3,0,2
5592,LU,0,0,3,1
5593,LU,127,3,2,3
5594,LU,1,0,0,0
5595,LU,127,3,3,3
5596,LU,0,0,0,0
5597,LU,120,1,2,1
5598,LU,0,2,0,1
5599,LU,95,1,3,2
5600,LU,127,3,0,2
5601,LU,31,1,3,1
5602,LU,127,3,0,3
5603,LU,0,0,2,0
5604,LU,127,3,2,3
5605,LU,1,0,0,0
5606,LU,127,3,3,3
5607,LU,0,0,0,0
5608,LU,120,1,3,2
5609,LU,96,2,0,2
5610,LU,31,1,3,1
5611,LU,127,3,1,3
5612,LU,0,0,1,0
5613,LU,126,3,1,3
5614,LU,0,0,2,0
5615,LU,127,3,3,3
5616,LU,0,0,0,0
5617,LU,127,3,3,3
5618,LU,0,1,0,0
5619,LU,126,1,3,1
5620,LU,103,2,0,2
5621,LU,31,1,3,1
5622,LU,127,3,1,3
5623,LU,0,0,2,0
5624,LU,127,3,1,3
5625,LU,1,0,2,0
5626,LU,127,3,3,3
5627,LU,0,0,0,0
5628,LU,126,2,3,2
5629,LU,0,1,0,1
5630,LU,94,1,3,1
5631,LU,119,3,0,2
5632,LU,31,1,3,1
5633,LU,127,3,0,3
5634,LU,0,0,1,0
5635,LU,126,3,2,3
5636,LU,1,0,1,0
5637,LU,127,3,3,3
5638,LU,0,0,0,0
5639,LU,126,2,3,2
5640,LU,0,1,0,1
5641,LU,31,1,3,1
5642,LU,127,3,1,3
5643,LU,1,0,2,0
5644,LU,127,3,0,2
5645,LU,0,0,3,1
5646,LU,127,3,1,3
5647,LU,1,0,0,0
5648,LU,127,3,3,3
5649,LU,0,0,0,0
5650,LU,120,1,3,2
5651,LU,0,2,0,1
5652,LU,127,1,3,2
5653,LU,127,3,0,3
5654,LU,0,0,3,0
5655,LU,127,3,1,2
5656,LU,0,0,2,1
5657,LU,127,3,1,3
5658,LU,1,0,0,0
5659,LU,127,3,3,3
5660,LU,0,0,0,0
5661,LU,94,1,3,1
5662,LU,103,3,1,2
5663,LU,31,1,3,1
5664,LU,127,3,0,3
5665,LU,0,0,2,0
5666,LU,127,3,2,3
5667,LU,1,0,1,0
5668,LU,127,3,3,3
5669,LU,0,0,0,0
5670,LU,126,2,3,2
5671,LU,0,1,0,1
5672,LU,95,1,3,2
5673,LU,127,3,1,2
5674,LU,15,1,2,1
5675,LU,126,3,0,3
5676,LU,0,0,2,0
5677,LU,127,3,2,3
5678,LU,1,0,0,0
5679,LU,127,3,3,3
5680,LU,0,0,0,0
5681,LU,126,2,3,2
5682,LU,0,1,0,1
5683,LU,27,1,3,1
5684,LU,127,3,0,3
5685,LU,0,0,3,1
5686,LU,127,2,1,2
5687,LU,0,0,1,0
5688,LU,127,3,3,3
5689,LU,1,0,0,0
5690,LU,127,3,3,3
5691,LU,0,0,0,0
5692,LU,90,1,3,2
5693,LU,127,3,0,2
5694,LU,31,1,3,1
5695,LU,126,3,0,2
5696,LU,0,0,3,1
5697,LU,127,3,3,3
5698,LU,1,0,0,0
5699,LU,127,3,3,3
5700,LU,0,0,0,0
5701,LU,120,1,3,2
5702,LU,96,2,0,2
5703,LU,31,1,3,1
5704,LU,127,3,0,3
5705,LU,0,0,1,0
5706,LU,126,3,1,3
5707,LU,1,0,2,0
5708,LU,127,3,3,3
5709,LU,0,0,0,0
5710,LU,120,2,3,2
5711,LU,0,2,0,1
5712,LU,31,1,3,1
5713,LU,127,3,0,3
5714,LU,0,0,3,0
5715,LU,126,3,2,3
5716,LU,1,0,0,0
5717,LU,127,3,3,3
5718,LU,0,0,0,0
5719,LU,126,2,3,2
5720,LU,0,1,0,1
5721,LU,31,1,3,1
5722,LU,127,3,0,3
5723,LU,0,0,3,0
5724,LU,127,3,1,3
5725,LU,1,0,2,1
5726,LU,127,3,2,3
5727,LU,0,0,0,0
5728,LU,127,2,3,3
5729,LU,0,1,0,1
5730,LU,126,1,3,2
5731,LU,127,3,0,3
5732,LU,0,0,3,0
5733,LU,127,3,0,2
5734,LU,0,0,2,1
5735,LU,127,3,0,3
5736,LU,0,0,2,0
5737,LU,126,2,3,3
5738,LU,0,1,0,1
5739,LU,94,1,3,1
5740,LU,127,3,0,3
5741,LU,0,0,3,1
5742,LU,127,3,1,3
5743,LU,0,0,2,0
5744,LU,127,3,3,3
5745,LU,0,0,0,0
5746,LU,126,2,3,3
5747,LU,0,1,0,1
5748,LU,94,1,3,1
5749,LU,127,3,0,3
5750,LU,1,0,3,1
5751,LU,126,3,0,3
5752,LU,0,0,2,0
5753,LU,127,3,3,3
5754,LU,0,0,0,0
5755,LU,127,3,3,3
5756,LU,0,1,0,1
5757,LU,94,1,3,1
5758,LU,127,3,0,3
5759,LU,1,0,3,1
5760,LU,127,3,0,3
5761,LU,0,0,1,0
5762,LU,127,3,3,3
5763,LU,0,0,0,0
5764,LU,127,3,2,3
5765,LU,0,1,0,0
5766,LU,24,1,3,1
5767,LU,127,3,0,3
5768,LU,1,0,2,0
5769,LU,127,3,3,3
5770,LU,0,0,2,1
5771,LU,127,3,2,3
5772,LU,0,0,0,0
5773,LU,127,3,3,3
5774,LU,0,1,0,0
5775,LU,126,1,3,2
5776,LU,127,3,0,3
5777,LU,0,0,3,0
5778,LU,127,3,2,3
5779,LU,0,0,0,0
5780,LU,127,3,3,3
5781,LU,0,0,0,0
5782,LU,126,2,3,2
5783,LU,0,1,0,1
5784,LU,95,1,3,1
5785,LU,127,3,1,3
5786,LU,0,0,3,0
5787,LU,127,3,2,3
5788,LU,1,0,0,0
5789,LU,127,3,3,3
5790,LU,0,0,0,0
5791,LU,120,2,3,2
5792,LU,0,2,0,2
5793,LU,31,1,3,1
5794,LU,127,3,0,3
5795,LU,0,0,3,1
5796,LU,127,3,1,3
5797,LU,1,0,1,0
5798,LU,127,3,3,3
5799,LU,0,0,0,0
5800,LU,120,1,3,2
5801,LU,118,3,1,2
5802,LU,31,1,3,1
5803,LU,127,3,0,3
5804,LU,0,0,3,0
5805,LU,127,3,3,3
5806,LU,1,0,0,0
5807,LU,127,3,3,3
5808,LU,0,0,0,0
5809,LU,92,1,3,2
5810,LU,127,3,0,3
5811,LU,1,0,2,0
5812,LU,127,3,2,3
5813,LU,0,0,2,0
5814,LU,127,3,3,3
5815,LU,0,0,0,0
5816,LU,126,2,3,3
5817,LU,0,1,0,0
5818,LU,94,1,3,1
5819,LU,127,3,0,3
5820,LU,0,0,3,0
5821,LU,127,3,0,3
5822,LU,0,0,3,1
5823,LU,127,3,1,3
5824,LU,0,0,0,0
5825,LU,126,2,3,2
5826,LU,0,1,0,1
5827,LU,94,1,3,2
5828,LU,127,3,0,3
5829,LU,0,0,2,0
5830,LU,126,3,1,3
5831,LU,0,0,2,0
5832,LU,127,3,3,3
5833,LU,0,0,0,0
5834,LU,126,2,3,2
5835,LU,0,1,0,1
5836,LU,31,1,3,1
5837,LU,127,3,2,3
5838,LU,0,0,1,0
5839,LU,127,3,0,3
5840,LU,1,0,3,0
5841,LU,127,3,3,3
5842,LU,0,0,0,0
5843,LU,88,1,3,2
5844,LU,126,3,0,2
5845,LU,15,1,3,1
5846,LU,126,3,1,3
5847,LU,0,0,1,0
5848,LU,127,3,2,3
5849,LU,1,0,0,0
5850,LU,127,3,3,3
5851,LU,0,0,0,0
5852,LU,120,1,3,1
5853,LU,102,3,0,2
5854,LU,31,1,3,1
5855,LU,127,3,1,2
5856,LU,0,0,2,0
5857,LU,127,3,1,3
5858,LU,1,0,1,0
5859,LU,127,3,3,3
5860,LU,0,0,0,0
5861,LU,88,1,2,1
5862,LU,127,3,1,3
5863,LU,1,0,1,0
5864,LU,127,3,2,3
5865,LU,0,0,3,1
5866,LU,127,3,3,3
5867,LU,0,0,0,0
5868,LU,127,3,3,3
5869,LU,0,1,0,1
5870,LU,31,1,3,1
5871,LU,127,3,0,2
5872,LU,1,1,2,1
5873,LU,127,3,1,3
5874,LU,1,0,0,0
5875,LU,127,3,3,3
5876,LU,0,0,0,0
5877,LU,88,1,3,2
5878,LU,127,3,0,3
5879,LU,0,0,1,0
5880,LU,126,3,0,2
5881,LU,1,0,1,0
5882,LU,127,3,3,3
5883,LU,0,0,0,0
5884,LU,120,2,3,2
5885,LU,96,2,0,2
5886,LU,31,1,3,1
5887,LU,127,3,0,3
5888,LU,0,0,3,1
5889,LU,127,3,0,3
5890,LU,1,0,1,0
5891,LU,127,3,1,3
5892,LU,0,0,0,0
5893,LU,120,1,3,2
5894,LU,96,2,0,2
5895,LU,31,1,3,1
5896,LU,127,3,2,3
5897,LU,0,0,1,0
5898,LU,127,3,1,3
5899,LU,1,0,0,0
5900,LU,127,3,3,3
5901,LU,0,0,0,0
5902,LU,126,2,3,2
5903,LU,0,1,0,1
5904,LU,94,1,3,1
5905,LU,127,3,0,3
5906,LU,0,0,2,0
5907,LU,126,3,0,2
5908,LU,0,0,2,1
5909,LU,127,3,3,3
5910,LU,0,0,1,0
5911,LU,127,3,3,3
5912,LU,0,1,0,0
5913,LU,24,1,3,1
5914,LU,127,3,0,2
5915,LU,31,1,3,1
5916,LU,127,3,0,3
5917,LU,0,0,3,1
5918,LU,127,3,2,3
5919,LU,1,0,1,0
5920,LU,127,3,3,3
5921,LU,0,0,0,0
5922,LU,126,2,3,2
5923,LU,0,1,0,1
5924,LU,31,1,3,1
5925,LU,127,3,0,3
5926,LU,0,0,3,0
5927,LU,126,3,2,3
5928,LU,3,0,0,0
5929,LU,127,3,3,3
5930,LU,0,0,0,0
5931,LU,126,2,3,2
5932,LU,0,1,0,1
5933,LU,127,1,3,1
5934,LU,127,3,0,3
5935,LU,0,0,2,0
5936,LU,126,3,1,3
5937,LU,0,0,2,1
5938,LU,127,3,3,3
5939,LU,0,0,0,0
5940,LU,127,3,3,3
5941,LU,0,1,0,0
5942,LU,90,1,3,1
5943,LU,127,3,1,3
5944,LU,11,0,2,1
5945,LU,126,3,1,3
5946,LU,0,0,1,0
5947,LU,127,3,3,3
5948,LU,1,0,0,0
5949,LU,127,3,3,3
5950,LU,0,0,0,0
5951,LU,124,2,3,2
5952,LU,0,2,0,1
5953,LU,31,1,3,1
5954,LU,127,3,2,3
5955,LU,0,0,1,0
5956,LU,127,3,2,3
5957,LU,0,0,1,0
5958,LU,127,3,3,3
5959,LU,0,0,0,0
5960,LU,127,2,3,3
5961,LU,0,1,0,0
5962,LU,126,1,3,2
5963,LU,96,2,0,2
5964,LU,31,1,3,1
5965,LU,127,3,0,3
5966,LU,0,0,3,0
5967,LU,126,3,1,3
5968,LU,1,0,0,0
5969,LU,127,3,3,3
5970,LU,0,0,0,0
5971,LU,126,2,3,3
5972,LU,0,1,0,0
5973,LU,30,1,3,1
5974,LU,119,3,1,2
5975,LU,31,1,2,1
5976,LU,127,3,1,3
5977,LU,0,0,2,0
5978,LU,127,3,1,3
5979,LU,1,0,3,0
5980,LU,127,3,2,3
5981,LU,0,0,0,0
5982,LU,126,2,3,2
5983,LU,0,2,2,2
5984,LU,31,1,3,1
5985,LU,127,3,0,3
5986,LU,0,0,3,0
5987,LU,126,3,0,2
5988,LU,1,0,3,1
5989,LU,127,3,2,3
5990,LU,0,0,0,0
5991,LU,127,3,3,3
5992,LU,0,0,0,0
5993,LU,124,1,3,2
5994,LU,96,2,0,2
5995,LU,31,1,3,1
5996,LU,127,3,0,2
5997,LU,127,2,3,2
5998,LU,0,0,0,0
5999,LU,127,2,1,2
6000,LU,95,2,3,2
6001,LU,127,2,1,2
6002,LU,127,3,3,3
6003,LU,95,1,3,2
6004,LU,0,0,0,0
6005,LU,126,2,3,3
6006,LU,127,3,1,3
6007,LU,0,0,0,0
6008,LU,80,1,3,1
6009,LU,96,2,0,2
6010,LU,31,1,3,1
6011,LU,127,3,1,3
6012,LU,0,0,3,0
6013,LU,127,3,1,3
6014,LU,3,0,0,0
6015,LU,127,3,3,3
6016,LU,0,0,0,0
6017,LU,126,2,3,2
6018,LU,0,1,0,1
6019,LU,31,1,3,1
6020,LU,127,3,2,3
6021,LU,3,0,3,1
6022,LU,126,3,0,2
6023,LU,0,0,3,1
6024,LU,127,3,2,3
6025,LU,1,0,0,0
6026,LU,127,3,3,3
6027,LU,0,0,0,0
6028,LU,24,1,3,1
6029,LU,103,2,0,2
6030,LU,31,1,3,1
6031,LU,127,3,0,3
6032,LU,0,0,3,0
6033,LU,126,3,0,3
6034,LU,3,0,1,0
6035,LU,127,3,3,3
6036,LU,0,0,0,0
6037,LU,126,2,3,3
6038,LU,0,1,0,1
6039,LU,30,1,3,1
6040,LU,119,3,0,2
6041,LU,31,0,2,1
6042,LU,127,3,2,3
6043,LU,0,0,0,0
6044,LU,126,3,3,3
6045,LU,7,0,1,0
6046,LU,127,3,2,3
6047,LU,0,0,0,0
6048,LU,120,2,3,2
6049,LU,0,2,0,1
6050,LU,31,1,3,1
6051,LU,127,3,0,3
6052,LU,1,0,3,0
6053,LU,124,3,0,2
6054,LU,0,0,0,0
6055,LU,127,3,3,3
6056,LU,0,0,0,0
6057,LU,126,2,3,3
6058,LU,0,1,0,1
6059,LU,30,1,3,2
6060,LU,119,3,0,2
6061,LU,31,1,3,1
6062,LU,127,3,1,3
6063,LU,0,0,2,0
6064,LU,127,3,2,3
6065,LU,7,0,0,0
6066,LU,127,3,3,3
6067,LU,0,0,0,0
6068,LU,120,2,3,2
6069,LU,0,2,0,1
6070,LU,31,1,3,1
6071,LU,127,3,0,3
6072,LU,0,0,1,0
6073,LU,126,3,1,3
6074,LU,0,0,3,1
6075,LU,127,3,1,3
6076,LU,1,0,0,0
6077,LU,127,3,3,3
6078,LU,0,0,0,0
6079,LU,124,1,3,2
6080,LU,0,2,0,1
6081,LU,30,1,3,1
6082,LU,127,3,0,2
6083,LU,31,0,3,1
6084,LU,127,3,0,3
6085,LU,0,0,3,0
6086,LU,126,3,0,3
6087,LU,7,0,3,0
6088,LU,127,3,2,3
6089,LU,0,0,0,0
6090,LU,126,2,3,3
6091,LU,0,1,0,1
6092,LU,30,1,3,2
6093,LU,97,2,0,2
6094,LU,31,1,3,1
6095,LU,127,3,0,3
6096,LU,1,0,3,0
6097,LU,126,3,1,3
6098,LU,0,0,2,0
6099,LU,127,3,2,3
6100,LU,1,0,0,0
6101,LU,127,3,3,3
6102,LU,0,0,0,0
6103,LU,126,2,3,2
6104,LU,0,1,0,1
6105,LU,30,1,3,1
6106,LU,96,2,0,2
6107,LU,31,1,3,1
6108,LU,127,3,2,3
6109,LU,0,0,2,0
6110,LU,126,3,0,3
6111,LU,3,0,3,0
6112,LU,127,3,2,3
6113,LU,0,0,1,0
6114,LU,127,3,3,3
6115,LU,0,1,0,0
6116,LU,94,1,3,2
6117,LU,32,2,0,2
6118,LU,30,1,3,1
6119,LU,117,3,0,3
6120,LU,31,0,3,1
6121,LU,127,3,3,3
6122,LU,0,0,0,0
6123,LU,126,3,2,3
6124,LU,7,0,0,0
6125,LU,127,3,3,3
6126,LU,0,0,0,0
6127,LU,126,2,3,3
6128,LU,0,1,0,1
6129,LU,94,1,3,1
6130,LU,97,2,0,2
6131,LU,31,1,3,1
6132,LU,127,3,0,3
6133,LU,7,0,3,1
6134,LU,126,3,0,3
6135,LU,0,0,3,0
6136,LU,127,3,1,3
6137,LU,3,0,0,0
6138,LU,127,3,3,3
6139,LU,0,0,0,0
6140,LU,126,2,3,2
6141,LU,0,1,0,1
6142,LU,94,1,3,2
6143,LU,101,2,0,2
6144,LU,31,1,3,1
6145,LU,127,3,0,3
6146,LU,0,0,3,0
6147,LU,126,3,1,3
6148,LU,0,0,1,0
6149,LU,127,3,2,3
6150,LU,0,0,0,0
6151,LU,127,3,3,3
6152,LU,0,0,0,0
6153,LU,120,1,2,1
6154,LU,32,2,0,2
6155,LU,95,1,3,1
6156,LU,127,3,0,3
6157,LU,0,0,3,0
6158,LU,126,3,0,3
6159,LU,0,0,2,0
6160,LU,127,3,3,3
6161,LU,0,0,0,0
6162,LU,127,3,3,3
6163,LU,0,0,0,0
6164,LU,94,1,3,2
6165,LU,32,2,0,1
6166,LU,31,1,2,1
6167,LU,127,3,2,3
6168,LU,15,0,3,1
6169,LU,126,3,0,3
6170,LU,0,0,1,0
6171,LU,127,3,3,3
6172,LU,3,0,1,0
6173,LU,127,3,3,3
6174,LU,0,0,0,0
6175,LU,126,2,3,2
6176,LU,0,1,0,1
6177,LU,94,1,3,2
6178,LU,97,2,0,2
6179,LU,31,1,3,1
6180,LU,127,3,1,3
6181,LU,1,0,3,0
6182,LU,126,3,1,3
6183,LU,0,0,1,0
6184,LU,127,3,2,3
6185,LU,1,0,0,0
6186,LU,127,3,3,3
6187,LU,0,0,0,0
6188,LU,88,1,3,1
6189,LU,96,2,0,2
6190,LU,95,1,3,1
6191,LU,127,3,0,3
6192,LU,7,0,3,0
6193,LU,126,3,0,3
6194,LU,0,0,3,0
6195,LU,127,3,1,3
6196,LU,5,0,0,0
6197,LU,127,3,3,3
6198,LU,0,0,0,0
6199,LU,124,2,3,2
6200,LU,0,1,0,1
6201,LU,94,1,3,1
6202,LU,101,2,0,2
6203,LU,31,1,3,1
6204,LU,127,3,1,3
6205,LU,0,0,3,0
6206,LU,126,3,2,3
6207,LU,1,0,0,0
6208,LU,127,3,3,3
6209,LU,0,0,0,0
6210,LU,127,3,3,3
6211,LU,0,1,0,0
6212,LU,26,1,3,1
6213,LU,100,2,0,2
6214,LU,31,1,2,1
6215,LU,127,3,3,3
6216,LU,0,0,1,0
6217,LU,126,3,2,3
6218,LU,7,0,0,0
6219,LU,127,3,3,3
6220,LU,0,0,0,0
6221,LU,126,2,3,3
6222,LU,0,1,0,1
6223,LU,94,1,3,2
6224,LU,119,3,0,2
6225,LU,31,0,3,1
6226,LU,127,3,1,3
6227,LU,0,0,2,0
6228,LU,126,3,1,3
6229,LU,7,0,0,0
6230,LU,127,3,3,3
6231,LU,0,0,0,0
6232,LU,126,2,3,3
6233,LU,0,1,0,1
6234,LU,30,1,3,1
6235,LU,98,2,0,2
6236,LU,31,1,3,1
6237,LU,127,3,0,3
6238,LU,1,0,2,0
6239,LU,126,3,0,3
6240,LU,0,0,3,0
6241,LU,127,3,1,3
6242,LU,1,0,2,0
6243,LU,127,3,3,3
6244,LU,0,0,0,0
6245,LU,88,1,3,1
6246,LU,32,2,0,1
6247,LU,31,1,3,1
6248,LU,127,3,0,3
6249,LU,1,0,3,0
6250,LU,126,3,0,2
6251,LU,0,0,0,0
6252,LU,127,3,3,3
6253,LU,0,0,1,0
6254,LU,127,3,2,3
6255,LU,0,1,0,0
6256,LU,94,1,3,2
6257,LU,101,2,0,2
6258,LU,31,1,1,1
6259,LU,127,3,2,3
6260,LU,0,0,3,0
6261,LU,126,3,0,3
6262,LU,3,0,2,0
6263,LU,127,3,3,3
6264,LU,0,0,0,0
6265,LU,126,2,3,2
6266,LU,0,1,0,1
6267,LU,30,1,3,1
6268,LU,127,3,0,2
6269,LU,15,0,3,1
6270,LU,126,3,0,3
6271,LU,0,0,1,0
6272,LU,127,3,3,3
6273,LU,1,0,1,0
6274,LU,127,3,3,3
6275,LU,0,0,0,0
6276,LU,120,1,3,2
6277,LU,0,2,0,1
6278,LU,31,1,3,1
6279,LU,127,3,0,3
6280,LU,1,0,3,0
6281,LU,126,3,0,3
6282,LU,0,0,0,0
6283,LU,127,3,3,3
6284,LU,1,0,0,0
6285,LU,127,3,3,3
6286,LU,0,0,0,0
6287,LU,92,1,3,1
6288,LU,103,3,0,2
6289,LU,31,0,3,1
6290,LU,127,3,1,3
6291,LU,0,0,1,0
6292,LU,127,3,1,3
6293,LU,3,0,0,0
6294,LU,127,3,3,3
