,Application,variable,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
6557,MG,94,2,2,2
6558,MG,94,2,2,2
6559,MG,127,2,1,2
6560,MG,127,2,1,2
6561,MG,127,3,3,3
6562,MG,126,3,3,3
6563,MG,127,3,3,3
6564,MG,1,0,0,0
6565,MG,126,3,3,3
6566,MG,0,1,2,1
6567,MG,24,1,2,1
6568,MG,96,2,2,2
6569,MG,127,2,2,2
6570,MG,0,1,1,1
6571,MG,127,2,2,2
6572,MG,7,1,1,1
6573,MG,0,1,1,1
6574,MG,96,1,2,1
6575,MG,127,2,2,2
6576,MG,63,2,2,2
6577,MG,0,0,0,0
6578,MG,0,1,2,1
6579,MG,127,2,2,2
6580,MG,127,2,1,2
6581,MG,0,1,1,1
6582,MG,126,2,0,1
6583,MG,127,2,3,2
6584,MG,56,2,1,2
6585,MG,127,1,1,1
6586,MG,0,1,1,1
6587,MG,126,2,1,2
6588,MG,127,2,3,2
6589,MG,127,2,2,2
6590,MG,7,1,0,1
6591,MG,0,1,1,1
6592,MG,127,2,3,3
6593,MG,127,2,1,2
6594,MG,27,1,1,1
6595,MG,96,1,1,1
6596,MG,0,1,2,1
6597,MG,127,2,2,2
6598,MG,126,2,1,2
6599,MG,0,1,2,1
6600,MG,126,2,1,2
6601,MG,126,2,2,2
6602,MG,25,1,2,1
6603,MG,127,2,2,2
6604,MG,0,1,1,1
6605,MG,126,2,2,2
6606,MG,127,2,1,2
6607,MG,31,2,2,2
6608,MG,0,1,1,1
6609,MG,100,2,2,2
6610,MG,25,1,2,2
6611,MG,127,2,1,2
6612,MG,0,1,1,1
6613,MG,124,2,1,2
6614,MG,127,2,2,2
6615,MG,121,2,2,2
6616,MG,103,1,2,1
6617,MG,0,1,0,1
6618,MG,127,2,2,2
6619,MG,103,2,1,1
6620,MG,29,1,2,1
6621,MG,96,1,2,1
6622,MG,96,2,1,2
6623,MG,31,2,2,2
6624,MG,127,2,1,2
6625,MG,0,1,1,1
6626,MG,112,2,1,2
6627,MG,127,2,2,2
6628,MG,59,2,2,2
6629,MG,127,1,2,1
6630,MG,0,1,1,1
6631,MG,127,3,1,2
6632,MG,3,1,2,1
6633,MG,31,2,2,2
6634,MG,0,1,1,1
6635,MG,0,1,1,1
6636,MG,127,2,2,2
6637,MG,127,2,1,2
6638,MG,0,1,1,1
6639,MG,118,2,2,2
6640,MG,127,2,2,2
6641,MG,127,2,3,2
6642,MG,3,1,1,1
6643,MG,126,2,2,2
6644,MG,1,1,1,1
6645,MG,0,0,0,0
6646,MG,126,2,0,2
6647,MG,127,2,2,2
6648,MG,59,1,3,2
6649,MG,127,3,3,3
6650,MG,94,2,3,2
6651,MG,127,2,1,2
6652,MG,0,0,1,1
6653,MG,126,2,2,2
6654,MG,63,2,2,2
6655,MG,127,1,1,1
6656,MG,0,1,1,1
6657,MG,127,2,3,2
6658,MG,127,2,2,2
6659,MG,29,2,1,1
6660,MG,96,1,1,1
6661,MG,0,1,2,2
6662,MG,63,2,1,2
6663,MG,127,2,2,2
6664,MG,0,1,1,1
6665,MG,126,2,2,2
6666,MG,127,2,2,2
6667,MG,127,2,2,2
6668,MG,3,1,1,1
6669,MG,0,1,1,1
6670,MG,127,2,2,2
6671,MG,127,2,2,2
6672,MG,0,1,1,1
6673,MG,114,2,2,2
6674,MG,127,2,2,2
6675,MG,127,2,2,2
6676,MG,0,1,1,1
6677,MG,0,1,2,1
6678,MG,127,2,2,2
6679,MG,127,2,1,1
6680,MG,0,1,1,1
6681,MG,114,2,1,2
6682,MG,127,2,3,2
6683,MG,127,2,2,2
6684,MG,4,1,1,1
6685,MG,0,1,2,1
6686,MG,127,2,1,2
6687,MG,127,2,2,2
6688,MG,0,1,1,1
6689,MG,96,2,1,2
6690,MG,127,2,1,2
6691,MG,63,2,2,2
6692,MG,64,1,1,1
6693,MG,0,1,1,1
6694,MG,127,2,1,2
6695,MG,127,2,2,2
6696,MG,0,1,1,1
6697,MG,112,2,2,2
6698,MG,127,2,1,2
6699,MG,61,2,2,2
6700,MG,6,1,1,1
6701,MG,0,1,1,1
6702,MG,127,2,2,2
6703,MG,126,2,2,2
6704,MG,1,1,1,1
6705,MG,96,1,1,1
6706,MG,63,2,2,2
6707,MG,123,2,2,2
6708,MG,103,1,1,1
6709,MG,0,1,1,1
6710,MG,63,2,2,2
6711,MG,127,2,2,2
6712,MG,0,1,1,1
6713,MG,112,2,1,2
6714,MG,127,2,2,2
6715,MG,123,2,3,2
6716,MG,2,1,1,1
6717,MG,96,2,2,2
6718,MG,25,1,1,1
6719,MG,127,2,2,2
6720,MG,0,1,1,1
6721,MG,126,2,1,2
6722,MG,127,2,2,2
6723,MG,31,1,1,1
6724,MG,64,1,1,1
6725,MG,127,2,3,2
6726,MG,31,1,1,1
6727,MG,119,1,1,1
6728,MG,0,1,1,1
6729,MG,127,2,2,2
6730,MG,127,2,1,2
6731,MG,13,1,1,1
6732,MG,96,1,1,1
6733,MG,39,1,0,1
6734,MG,0,0,0,0
