,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
6735,SP,10,11,11,11,11,10,11,2,3,2
6736,SP,10,11,11,11,11,10,11,2,0,2
6737,SP,10,11,11,11,11,11,11,2,2,2
6738,SP,11,11,11,11,11,11,11,2,3,2
6739,SP,11,11,11,11,11,10,11,2,3,3
6740,SP,11,11,11,11,11,11,11,3,3,3
6741,SP,11,11,11,11,10,10,10,0,0,0
6742,SP,10,11,11,10,11,11,11,3,1,2
6743,SP,10,10,10,10,10,10,10,0,1,0
6744,SP,11,11,11,11,11,11,11,2,2,2
6745,SP,11,11,11,11,11,11,11,2,2,2
6746,SP,10,10,10,11,11,11,11,2,2,2
6747,SP,11,10,10,10,10,10,10,1,1,1
6748,SP,10,10,10,10,10,10,10,1,1,1
6749,SP,11,11,11,11,11,11,11,2,2,2
6750,SP,10,10,10,10,10,10,10,1,1,1
6751,SP,11,11,11,11,11,11,11,2,2,2
6752,SP,10,11,11,11,11,11,11,2,2,2
6753,SP,10,10,10,10,10,10,10,1,1,1
6754,SP,11,11,11,11,11,11,11,2,2,2
6755,SP,10,10,10,10,10,10,10,0,1,1
6756,SP,11,11,11,11,11,11,11,2,2,2
6757,SP,10,10,10,10,10,10,10,1,1,1
6758,SP,11,11,11,11,11,11,11,2,2,2
6759,SP,11,11,11,11,11,11,11,2,2,2
6760,SP,10,10,10,10,10,10,10,1,1,1
6761,SP,11,11,11,10,10,10,10,1,1,1
6762,SP,10,10,10,11,11,11,11,1,2,1
6763,SP,11,11,11,10,10,10,10,1,1,1
6764,SP,10,10,10,10,10,10,10,1,1,1
6765,SP,11,11,11,11,11,11,11,2,2,2
6766,SP,11,11,11,11,11,11,11,2,3,2
6767,SP,10,10,10,10,10,10,10,1,1,1
6768,SP,11,11,11,11,11,11,11,2,2,2
6769,SP,10,10,10,10,10,10,10,0,0,0
6770,SP,11,11,11,11,11,11,11,2,2,2
6771,SP,10,10,10,10,10,10,10,1,1,1
6772,SP,11,11,11,11,11,11,11,2,2,2
6773,SP,11,11,11,11,11,11,11,2,2,2
6774,SP,10,10,10,10,10,10,10,1,1,1
6775,SP,11,11,11,11,11,11,11,2,2,2
6776,SP,10,10,10,10,10,10,10,1,1,1
6777,SP,11,11,11,11,11,11,11,2,3,2
6778,SP,11,11,10,10,10,10,10,1,1,1
6779,SP,10,11,11,11,11,11,11,2,2,2
6780,SP,11,11,11,11,11,11,11,2,2,2
6781,SP,10,10,10,10,10,10,10,0,0,0
6782,SP,10,11,11,11,11,11,11,2,2,2
6783,SP,10,10,10,10,10,10,10,1,1,1
6784,SP,10,11,10,11,11,11,11,2,2,2
6785,SP,11,11,11,11,11,10,10,1,1,1
6786,SP,10,10,10,11,11,11,11,2,2,2
6787,SP,11,11,11,11,11,11,11,2,2,2
6788,SP,10,10,10,10,10,10,10,1,1,1
6789,SP,11,10,10,10,10,10,10,1,1,1
6790,SP,11,11,11,11,11,11,11,2,2,2
6791,SP,10,10,10,10,10,10,10,1,2,1
6792,SP,11,11,11,11,10,10,10,1,1,1
6793,SP,10,10,10,10,10,11,11,2,2,2
6794,SP,11,11,11,11,11,11,11,2,1,2
6795,SP,11,11,11,11,11,11,10,1,1,1
6796,SP,11,10,10,10,10,10,11,2,2,2
6797,SP,11,11,11,11,11,11,11,2,2,2
6798,SP,10,10,10,10,10,10,10,1,1,1
6799,SP,11,11,11,11,11,11,11,1,2,2
6800,SP,10,10,10,10,10,11,11,2,2,2
6801,SP,11,11,11,11,11,10,11,2,2,2
6802,SP,10,10,10,10,10,10,10,1,0,1
6803,SP,11,11,11,11,11,11,11,2,2,2
6804,SP,10,10,10,10,10,10,10,1,1,1
6805,SP,11,11,11,11,11,11,11,3,2,3
6806,SP,11,11,11,11,11,11,11,2,2,2
6807,SP,10,10,10,10,10,10,10,1,1,1
6808,SP,10,11,11,11,11,11,11,2,2,2
6809,SP,10,10,10,10,10,10,10,1,1,1
6810,SP,10,11,11,11,11,11,11,2,2,2
6811,SP,11,11,11,11,11,11,11,2,2,2
6812,SP,10,10,10,10,10,10,10,1,1,1
6813,SP,11,11,11,11,11,11,11,2,2,2
6814,SP,10,10,10,10,10,10,10,1,1,1
6815,SP,10,11,11,11,11,11,11,2,2,2
6816,SP,11,11,11,11,11,11,11,2,2,2
6817,SP,11,11,10,10,10,10,10,1,1,1
6818,SP,11,11,11,11,11,11,11,2,2,2
6819,SP,10,10,10,10,10,10,10,1,1,1
6820,SP,11,11,11,11,11,11,11,2,2,2
6821,SP,10,10,10,10,10,10,10,1,1,1
6822,SP,11,11,11,10,10,11,11,2,2,2
6823,SP,10,10,10,10,10,10,10,1,1,1
6824,SP,11,11,11,11,11,11,11,2,2,2
6825,SP,10,11,11,11,11,11,11,2,2,2
6826,SP,10,10,10,11,11,11,10,1,2,1
6827,SP,11,11,11,10,10,10,10,2,1,2
6828,SP,10,10,10,11,10,10,10,1,1,1
6829,SP,11,11,11,10,10,11,11,2,1,2
6830,SP,10,10,10,10,10,10,11,1,1,1
6831,SP,11,11,11,11,11,11,10,1,2,1
6832,SP,11,11,11,11,11,11,11,2,2,2
6833,SP,10,10,10,10,10,11,11,1,2,1
6834,SP,11,10,11,10,10,10,10,2,1,2
6835,SP,10,11,10,11,11,10,10,1,1,1
6836,SP,11,10,10,10,10,10,10,2,1,2
6837,SP,11,11,11,11,11,11,11,2,2,2
6838,SP,10,10,10,10,10,11,11,2,1,2
6839,SP,11,11,11,10,10,10,10,1,1,1
6840,SP,10,10,11,11,11,11,11,2,2,2
6841,SP,11,11,11,11,11,11,11,2,2,2
6842,SP,10,10,10,10,10,10,10,1,1,1
6843,SP,10,10,10,10,10,10,10,2,1,2
6844,SP,11,11,11,10,10,10,10,1,1,1
6845,SP,10,10,10,10,11,11,11,2,2,2
6846,SP,11,11,11,11,10,10,10,1,2,1
6847,SP,10,11,11,11,11,11,11,2,2,2
6848,SP,11,11,11,11,10,11,10,2,1,2
6849,SP,10,10,10,10,10,10,10,1,1,1
6850,SP,11,11,11,11,11,11,11,3,3,3
6851,SP,11,10,10,10,10,10,10,0,1,0
6852,SP,10,10,11,11,11,11,11,2,2,2
6853,SP,11,10,10,10,10,10,10,1,1,1
6854,SP,10,11,11,11,11,11,11,3,3,3
6855,SP,11,11,11,11,11,10,10,2,1,2
6856,SP,10,10,10,10,10,10,10,1,1,1
6857,SP,11,11,11,11,11,11,11,2,2,2
6858,SP,10,10,10,10,10,10,10,0,0,0
6859,SP,10,11,11,11,11,11,11,3,3,3
6860,SP,11,11,10,10,10,10,10,1,1,1
6861,SP,10,10,11,11,11,11,11,2,2,2
6862,SP,10,11,11,10,10,11,11,2,1,2
6863,SP,11,10,10,10,10,10,10,1,1,1
6864,SP,10,11,11,11,11,11,11,2,2,2
6865,SP,11,11,11,11,11,10,10,1,1,1
6866,SP,10,10,10,10,10,11,11,2,2,2
6867,SP,11,11,11,11,10,10,10,1,1,1
6868,SP,10,10,10,10,10,10,11,2,1,2
6869,SP,11,11,11,11,11,11,11,2,2,2
6870,SP,10,10,10,10,10,10,10,0,0,0
6871,SP,11,11,11,11,11,11,11,3,3,3
6872,SP,11,10,10,10,10,10,10,1,1,1
6873,SP,11,11,11,11,11,11,11,2,2,2
6874,SP,11,11,11,11,11,11,11,2,2,2
6875,SP,10,10,10,10,10,10,10,1,1,1
6876,SP,11,11,11,11,11,11,11,2,2,2
6877,SP,10,10,10,10,10,10,10,0,0,0
6878,SP,10,11,11,11,11,11,11,3,3,3
6879,SP,11,11,11,10,10,10,10,1,1,1
6880,SP,10,10,10,10,11,11,11,2,2,2
6881,SP,11,11,11,11,11,11,11,2,2,2
6882,SP,11,10,10,10,10,10,10,0,0,0
6883,SP,10,11,11,11,11,11,11,2,2,2
6884,SP,11,10,10,10,10,10,10,1,1,1
6885,SP,10,10,10,10,10,11,11,2,2,2
6886,SP,11,11,11,11,11,10,10,1,1,1
6887,SP,10,10,10,10,10,10,10,1,1,1
6888,SP,11,11,11,11,11,11,11,2,2,2
6889,SP,10,10,10,10,10,10,10,0,0,0
6890,SP,11,11,11,11,11,11,11,2,3,2
6891,SP,10,10,10,10,10,10,10,1,1,1
6892,SP,11,11,11,11,11,11,11,2,2,2
6893,SP,11,11,11,11,11,11,11,2,2,2
6894,SP,10,10,10,10,10,10,10,1,1,1
6895,SP,10,11,11,11,11,11,11,2,2,2
6896,SP,10,10,10,10,10,10,10,0,0,0
6897,SP,10,11,11,11,11,11,11,3,3,3
6898,SP,11,11,11,10,10,10,10,1,1,1
6899,SP,10,11,10,11,11,11,11,2,2,2
6900,SP,11,11,11,11,11,11,11,2,2,2
6901,SP,10,10,10,10,10,10,10,1,1,1
6902,SP,10,11,11,11,11,11,11,2,2,2
6903,SP,11,11,11,11,11,10,11,1,1,1
6904,SP,10,10,10,10,10,10,10,1,1,1
6905,SP,11,11,11,11,11,11,11,2,2,2
6906,SP,10,10,10,11,11,11,11,2,2,2
6907,SP,11,11,11,10,10,10,10,1,1,1
6908,SP,10,10,10,10,10,10,10,1,1,1
6909,SP,11,11,11,11,11,11,11,2,2,2
6910,SP,10,10,10,10,10,10,10,1,2,1
6911,SP,11,11,11,11,11,11,11,2,1,2
6912,SP,11,11,11,10,10,11,11,2,2,2
6913,SP,11,11,11,11,11,11,11,2,2,2
6914,SP,11,11,11,11,11,11,11,2,2,2
6915,SP,10,10,10,10,10,10,10,0,0,0
6916,SP,10,11,11,11,11,11,11,2,2,2
6917,SP,11,11,11,11,11,10,10,1,1,1
6918,SP,10,10,10,10,10,11,11,2,2,2
6919,SP,11,11,11,11,11,11,11,1,2,1
6920,SP,10,10,10,10,10,10,10,1,1,1
6921,SP,11,11,11,10,10,11,11,2,1,2
6922,SP,10,10,10,10,10,10,10,0,1,0
6923,SP,11,11,11,11,11,11,11,3,3,3
6924,SP,11,10,10,10,10,10,10,1,1,1
6925,SP,10,11,11,11,11,11,11,2,2,2
6926,SP,11,11,11,11,11,11,11,2,2,2
6927,SP,10,10,10,10,10,10,10,1,1,1
6928,SP,10,10,11,10,10,11,11,2,2,2
6929,SP,11,10,10,10,10,10,10,1,1,1
6930,SP,10,10,10,10,11,11,11,2,2,2
6931,SP,11,11,11,11,11,11,11,1,1,1
6932,SP,10,10,10,10,10,10,10,1,1,1
6933,SP,11,11,11,11,11,11,11,2,2,2
6934,SP,10,10,10,10,10,10,10,0,0,0
6935,SP,10,11,11,11,11,11,11,2,2,2
6936,SP,10,10,10,10,10,10,10,1,1,1
6937,SP,11,11,11,11,11,11,11,2,2,2
6938,SP,11,11,11,11,11,11,11,2,2,2
6939,SP,10,10,10,10,10,10,10,1,1,1
6940,SP,11,11,11,11,11,11,11,2,2,2
6941,SP,10,10,10,10,10,10,10,0,0,0
6942,SP,11,11,11,11,11,11,11,3,3,3
6943,SP,11,11,11,11,11,11,11,1,2,2
6944,SP,10,10,10,10,10,10,10,1,1,1
6945,SP,11,11,11,11,11,11,11,2,2,2
6946,SP,10,10,10,10,10,10,10,0,1,0
6947,SP,10,11,11,11,11,11,11,2,2,2
6948,SP,10,11,11,10,10,10,10,1,2,1
6949,SP,11,11,11,11,11,11,11,2,1,2
6950,SP,11,11,11,11,11,11,11,2,2,2
6951,SP,10,10,10,10,10,10,10,1,1,1
6952,SP,11,11,11,11,11,11,11,2,2,2
6953,SP,10,10,10,10,10,10,10,0,0,0
6954,SP,11,11,11,11,11,11,11,3,3,3
6955,SP,11,11,11,11,11,10,10,1,1,1
6956,SP,10,10,10,10,11,11,11,2,2,2
6957,SP,11,11,11,11,11,11,11,2,2,2
6958,SP,10,10,10,10,10,10,10,1,1,1
6959,SP,11,11,11,11,11,11,11,2,2,2
6960,SP,10,10,10,10,10,10,10,1,1,1
6961,SP,11,11,11,11,11,11,11,2,2,2
6962,SP,11,11,11,11,11,11,11,2,2,2
6963,SP,10,10,10,10,10,10,10,1,1,1
6964,SP,11,11,11,11,11,11,11,2,2,2
6965,SP,10,10,10,10,10,10,10,0,0,0
6966,SP,11,11,11,11,11,11,11,3,3,3
6967,SP,11,11,11,11,11,10,10,1,2,1
6968,SP,10,10,10,10,10,11,11,2,1,2
6969,SP,11,11,11,11,11,11,11,2,2,2
6970,SP,10,10,10,10,10,10,10,0,1,0
6971,SP,11,11,11,11,11,11,11,3,3,3
