,Application,variable,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
6735,SP,94,2,3,2
6736,SP,94,2,0,2
6737,SP,126,2,2,2
6738,SP,127,2,3,2
6739,SP,95,2,3,3
6740,SP,127,3,3,3
6741,SP,15,0,0,0
6742,SP,118,3,1,2
6743,SP,0,0,1,0
6744,SP,127,2,2,2
6745,SP,127,2,2,2
6746,SP,120,2,2,2
6747,SP,1,1,1,1
6748,SP,0,1,1,1
6749,SP,127,2,2,2
6750,SP,0,1,1,1
6751,SP,127,2,2,2
6752,SP,126,2,2,2
6753,SP,0,1,1,1
6754,SP,127,2,2,2
6755,SP,0,0,1,1
6756,SP,127,2,2,2
6757,SP,0,1,1,1
6758,SP,127,2,2,2
6759,SP,127,2,2,2
6760,SP,0,1,1,1
6761,SP,7,1,1,1
6762,SP,120,1,2,1
6763,SP,7,1,1,1
6764,SP,0,1,1,1
6765,SP,127,2,2,2
6766,SP,127,2,3,2
6767,SP,0,1,1,1
6768,SP,127,2,2,2
6769,SP,0,0,0,0
6770,SP,127,2,2,2
6771,SP,0,1,1,1
6772,SP,127,2,2,2
6773,SP,127,2,2,2
6774,SP,0,1,1,1
6775,SP,127,2,2,2
6776,SP,0,1,1,1
6777,SP,127,2,3,2
6778,SP,3,1,1,1
6779,SP,126,2,2,2
6780,SP,127,2,2,2
6781,SP,0,0,0,0
6782,SP,126,2,2,2
6783,SP,0,1,1,1
6784,SP,122,2,2,2
6785,SP,31,1,1,1
6786,SP,120,2,2,2
6787,SP,127,2,2,2
6788,SP,0,1,1,1
6789,SP,1,1,1,1
6790,SP,127,2,2,2
6791,SP,0,1,2,1
6792,SP,15,1,1,1
6793,SP,96,2,2,2
6794,SP,127,2,1,2
6795,SP,63,1,1,1
6796,SP,65,2,2,2
6797,SP,127,2,2,2
6798,SP,0,1,1,1
6799,SP,127,1,2,2
6800,SP,96,2,2,2
6801,SP,95,2,2,2
6802,SP,0,1,0,1
6803,SP,127,2,2,2
6804,SP,0,1,1,1
6805,SP,127,3,2,3
6806,SP,127,2,2,2
6807,SP,0,1,1,1
6808,SP,126,2,2,2
6809,SP,0,1,1,1
6810,SP,126,2,2,2
6811,SP,127,2,2,2
6812,SP,0,1,1,1
6813,SP,127,2,2,2
6814,SP,0,1,1,1
6815,SP,126,2,2,2
6816,SP,127,2,2,2
6817,SP,3,1,1,1
6818,SP,127,2,2,2
6819,SP,0,1,1,1
6820,SP,127,2,2,2
6821,SP,0,1,1,1
6822,SP,103,2,2,2
6823,SP,0,1,1,1
6824,SP,127,2,2,2
6825,SP,126,2,2,2
6826,SP,56,1,2,1
6827,SP,7,2,1,2
6828,SP,8,1,1,1
6829,SP,103,2,1,2
6830,SP,64,1,1,1
6831,SP,63,1,2,1
6832,SP,127,2,2,2
6833,SP,96,1,2,1
6834,SP,5,2,1,2
6835,SP,26,1,1,1
6836,SP,1,2,1,2
6837,SP,127,2,2,2
6838,SP,96,2,1,2
6839,SP,7,1,1,1
6840,SP,124,2,2,2
6841,SP,127,2,2,2
6842,SP,0,1,1,1
6843,SP,0,2,1,2
6844,SP,7,1,1,1
6845,SP,112,2,2,2
6846,SP,15,1,2,1
6847,SP,126,2,2,2
6848,SP,47,2,1,2
6849,SP,0,1,1,1
6850,SP,127,3,3,3
6851,SP,1,0,1,0
6852,SP,124,2,2,2
6853,SP,1,1,1,1
6854,SP,126,3,3,3
6855,SP,31,2,1,2
6856,SP,0,1,1,1
6857,SP,127,2,2,2
6858,SP,0,0,0,0
6859,SP,126,3,3,3
6860,SP,3,1,1,1
6861,SP,124,2,2,2
6862,SP,102,2,1,2
6863,SP,1,1,1,1
6864,SP,126,2,2,2
6865,SP,31,1,1,1
6866,SP,96,2,2,2
6867,SP,15,1,1,1
6868,SP,64,2,1,2
6869,SP,127,2,2,2
6870,SP,0,0,0,0
6871,SP,127,3,3,3
6872,SP,1,1,1,1
6873,SP,127,2,2,2
6874,SP,127,2,2,2
6875,SP,0,1,1,1
6876,SP,127,2,2,2
6877,SP,0,0,0,0
6878,SP,126,3,3,3
6879,SP,7,1,1,1
6880,SP,112,2,2,2
6881,SP,127,2,2,2
6882,SP,1,0,0,0
6883,SP,126,2,2,2
6884,SP,1,1,1,1
6885,SP,96,2,2,2
6886,SP,31,1,1,1
6887,SP,0,1,1,1
6888,SP,127,2,2,2
6889,SP,0,0,0,0
6890,SP,127,2,3,2
6891,SP,0,1,1,1
6892,SP,127,2,2,2
6893,SP,127,2,2,2
6894,SP,0,1,1,1
6895,SP,126,2,2,2
6896,SP,0,0,0,0
6897,SP,126,3,3,3
6898,SP,7,1,1,1
6899,SP,122,2,2,2
6900,SP,127,2,2,2
6901,SP,0,1,1,1
6902,SP,126,2,2,2
6903,SP,95,1,1,1
6904,SP,0,1,1,1
6905,SP,127,2,2,2
6906,SP,120,2,2,2
6907,SP,7,1,1,1
6908,SP,0,1,1,1
6909,SP,127,2,2,2
6910,SP,0,1,2,1
6911,SP,127,2,1,2
6912,SP,103,2,2,2
6913,SP,127,2,2,2
6914,SP,127,2,2,2
6915,SP,0,0,0,0
6916,SP,126,2,2,2
6917,SP,31,1,1,1
6918,SP,96,2,2,2
6919,SP,127,1,2,1
6920,SP,0,1,1,1
6921,SP,103,2,1,2
6922,SP,0,0,1,0
6923,SP,127,3,3,3
6924,SP,1,1,1,1
6925,SP,126,2,2,2
6926,SP,127,2,2,2
6927,SP,0,1,1,1
6928,SP,100,2,2,2
6929,SP,1,1,1,1
6930,SP,112,2,2,2
6931,SP,127,1,1,1
6932,SP,0,1,1,1
6933,SP,127,2,2,2
6934,SP,0,0,0,0
6935,SP,126,2,2,2
6936,SP,0,1,1,1
6937,SP,127,2,2,2
6938,SP,127,2,2,2
6939,SP,0,1,1,1
6940,SP,127,2,2,2
6941,SP,0,0,0,0
6942,SP,127,3,3,3
6943,SP,127,1,2,2
6944,SP,0,1,1,1
6945,SP,127,2,2,2
6946,SP,0,0,1,0
6947,SP,126,2,2,2
6948,SP,6,1,2,1
6949,SP,127,2,1,2
6950,SP,127,2,2,2
6951,SP,0,1,1,1
6952,SP,127,2,2,2
6953,SP,0,0,0,0
6954,SP,127,3,3,3
6955,SP,31,1,1,1
6956,SP,112,2,2,2
6957,SP,127,2,2,2
6958,SP,0,1,1,1
6959,SP,127,2,2,2
6960,SP,0,1,1,1
6961,SP,127,2,2,2
6962,SP,127,2,2,2
6963,SP,0,1,1,1
6964,SP,127,2,2,2
6965,SP,0,0,0,0
6966,SP,127,3,3,3
6967,SP,31,1,2,1
6968,SP,96,2,1,2
6969,SP,127,2,2,2
6970,SP,0,0,1,0
6971,SP,127,3,3,3
6972,SP,0,1,1,1
6973,SP,127,2,2,2
6974,SP,127,2,2,2
6975,SP,0,1,1,1
6976,SP,126,2,2,2
6977,SP,0,1,1,1
6978,SP,126,2,2,2
6979,SP,15,1,1,1
6980,SP,126,2,2,2
6981,SP,127,2,2,2
6982,SP,0,1,1,1
6983,SP,96,2,2,2
6984,SP,31,1,2,1
6985,SP,96,2,1,2
6986,SP,127,2,2,2
6987,SP,0,1,1,1
6988,SP,127,3,3,3
6989,SP,1,1,1,1
6990,SP,112,2,2,2
6991,SP,31,1,1,1
6992,SP,96,2,2,2
6993,SP,3,1,1,1
6994,SP,126,3,3,3
6995,SP,127,2,2,2
6996,SP,0,1,1,1
6997,SP,127,3,3,3
6998,SP,3,1,1,1
6999,SP,0,2,1,1
7000,SP,0,0,1,1
7001,SP,127,3,3,3
7002,SP,0,1,1,1
7003,SP,127,2,2,2
7004,SP,127,2,2,2
7005,SP,0,1,1,1
7006,SP,127,2,2,2
7007,SP,0,1,1,1
7008,SP,103,2,2,2
7009,SP,0,1,1,1
7010,SP,127,2,2,2
7011,SP,127,2,2,2
7012,SP,0,1,1,1
7013,SP,126,2,2,2
7014,SP,0,0,1,1
7015,SP,126,2,2,2
7016,SP,127,1,1,1
7017,SP,112,2,2,2
7018,SP,127,2,2,2
7019,SP,0,1,1,1
7020,SP,127,2,2,2
7021,SP,31,1,1,1
7022,SP,127,2,2,2
7023,SP,127,2,2,2
7024,SP,0,1,1,1
7025,SP,127,2,2,2
7026,SP,0,0,0,0
7027,SP,127,3,3,3
7028,SP,7,1,1,1
7029,SP,120,2,2,2
7030,SP,127,2,2,2
7031,SP,1,1,1,1
7032,SP,96,2,2,2
7033,SP,1,1,1,1
7034,SP,112,2,2,2
7035,SP,15,1,1,1
7036,SP,120,2,2,2
7037,SP,127,2,2,2
7038,SP,0,1,1,1
7039,SP,98,2,2,2
7040,SP,1,1,1,1
7041,SP,112,2,2,2
7042,SP,31,1,1,1
7043,SP,0,1,2,1
7044,SP,127,2,2,2
7045,SP,0,1,1,1
7046,SP,127,2,2,2
7047,SP,0,1,1,1
7048,SP,127,2,2,2
7049,SP,127,2,2,2
7050,SP,0,1,1,1
7051,SP,127,2,2,2
7052,SP,0,1,0,0
7053,SP,127,2,3,2
7054,SP,1,1,1,1
7055,SP,126,2,2,2
7056,SP,127,2,2,2
7057,SP,0,1,1,1
7058,SP,126,2,2,2
7059,SP,0,1,1,1
7060,SP,126,2,2,2
7061,SP,7,1,1,1
7062,SP,126,2,2,2
7063,SP,127,2,2,2
7064,SP,0,1,1,1
7065,SP,118,2,2,2
7066,SP,15,1,1,1
7067,SP,96,2,2,2
7068,SP,31,1,2,1
7069,SP,96,2,2,2
7070,SP,127,2,2,2
7071,SP,0,1,1,1
7072,SP,126,2,2,2
7073,SP,31,1,1,1
7074,SP,96,2,2,2
7075,SP,127,2,2,2
7076,SP,0,1,1,1
7077,SP,127,2,2,2
7078,SP,0,1,0,1
7079,SP,127,2,3,2
7080,SP,0,1,1,1
7081,SP,127,2,2,2
7082,SP,127,2,2,2
7083,SP,0,1,1,1
7084,SP,127,2,2,2
7085,SP,0,0,0,0
7086,SP,127,2,2,2
7087,SP,0,1,1,1
7088,SP,127,2,2,2
7089,SP,127,2,2,2
7090,SP,0,1,1,1
7091,SP,127,2,2,2
7092,SP,0,0,0,0
7093,SP,126,3,2,3
7094,SP,95,1,1,1
7095,SP,112,2,2,2
7096,SP,127,2,2,2
7097,SP,0,1,1,1
7098,SP,127,2,2,2
7099,SP,127,2,2,2
