,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
0,BT,94,2,2,3,3,2,2
1,BT,127,2,2,1,3,2,2
2,BT,95,2,2,1,1,2,2
3,BT,121,2,2,3,1,2,2
4,BT,127,3,2,3,3,3,2
5,BT,0,0,3,0,3,0,3
6,BT,112,2,0,2,0,2,0
7,BT,0,1,2,1,2,1,2
8,BT,127,2,1,3,1,2,1
9,BT,0,1,2,0,3,1,2
10,BT,6,2,1,1,0,1,1
11,BT,127,3,2,3,1,3,1
12,BT,0,0,3,0,3,0,3
13,BT,64,2,0,0,0,1,0
14,BT,127,3,2,3,0,3,1
15,BT,0,0,3,0,3,0,3
16,BT,0,2,0,1,0,1,0
17,BT,127,3,2,3,1,3,1
18,BT,0,1,3,0,3,1,3
19,BT,0,1,1,0,0,1,1
20,BT,127,3,1,3,0,3,1
21,BT,0,0,3,0,3,0,3
22,BT,0,1,0,0,0,1,0
23,BT,127,3,1,3,0,3,1
24,BT,0,0,3,1,3,0,3
25,BT,0,1,0,0,1,1,0
26,BT,127,3,1,3,0,3,1
27,BT,0,0,3,0,3,0,3
28,BT,112,2,0,1,0,2,0
29,BT,127,3,2,3,1,3,2
30,BT,0,0,3,1,3,0,3
31,BT,120,2,0,2,1,2,0
32,BT,127,2,2,2,2,2,2
33,BT,0,0,2,1,2,0,2
34,BT,120,2,0,0,1,2,0
35,BT,127,2,2,3,0,3,2
36,BT,0,0,2,0,3,0,3
37,BT,32,2,0,0,0,1,0
38,BT,127,3,2,3,0,3,1
39,BT,0,0,3,1,3,0,3
40,BT,0,2,0,1,1,2,0
41,BT,127,3,2,3,1,3,2
42,BT,0,0,3,1,3,0,3
43,BT,0,2,0,1,1,2,0
44,BT,68,2,2,2,1,2,2
45,BT,127,1,2,3,2,2,2
46,BT,0,2,1,0,3,1,2
47,BT,1,1,2,2,0,1,1
48,BT,127,3,1,3,2,3,1
49,BT,0,0,3,0,3,0,3
50,BT,96,2,0,0,0,1,0
51,BT,127,3,2,3,0,3,1
52,BT,0,0,3,0,3,0,3
53,BT,96,2,0,1,0,2,0
54,BT,127,3,2,3,1,3,2
55,BT,0,0,3,0,3,0,3
56,BT,0,1,0,1,0,1,0
57,BT,127,3,1,3,1,3,1
58,BT,0,1,3,0,3,0,3
59,BT,0,1,1,0,0,1,0
60,BT,127,3,1,3,0,3,1
61,BT,0,1,3,0,3,1,3
62,BT,0,1,1,0,0,1,1
63,BT,127,3,1,3,0,3,1
64,BT,0,0,3,0,3,0,3
65,BT,0,1,0,0,0,1,0
66,BT,127,3,1,3,0,3,1
67,BT,0,0,3,0,3,0,3
68,BT,96,1,0,1,0,1,0
69,BT,127,3,1,3,1,3,1
70,BT,0,0,3,0,3,0,3
71,BT,112,2,0,0,0,1,0
72,BT,127,3,2,3,0,3,1
73,BT,0,0,3,1,3,0,3
74,BT,96,2,0,1,1,2,0
75,BT,127,3,2,3,1,3,2
76,BT,0,0,3,1,3,0,3
77,BT,112,2,0,1,1,2,0
78,BT,127,3,2,2,1,3,2
79,BT,0,0,3,0,2,0,3
80,BT,112,2,0,2,0,2,0
81,BT,127,3,2,3,2,3,2
82,BT,0,0,3,1,3,0,3
83,BT,96,2,0,1,1,2,0
84,BT,127,2,2,2,1,2,2
85,BT,0,0,2,1,2,0,2
86,BT,0,2,0,0,1,1,0
87,BT,127,3,2,3,0,3,1
88,BT,0,0,3,2,3,0,3
89,BT,0,2,0,0,2,1,0
90,BT,126,2,2,1,0,2,1
91,BT,7,0,2,3,1,1,2
92,BT,0,2,0,0,3,2,1
93,BT,120,1,2,1,0,1,2
94,BT,127,3,1,3,1,3,1
95,BT,0,1,3,0,3,1,3
96,BT,0,1,1,1,0,1,1
97,BT,127,3,1,3,1,3,1
98,BT,0,0,3,0,3,0,3
99,BT,64,2,0,0,0,1,0
100,BT,127,3,2,3,0,3,1
101,BT,0,0,3,0,3,0,3
102,BT,96,2,0,1,0,2,0
103,BT,127,3,2,3,1,3,2
104,BT,0,0,3,0,3,0,3
105,BT,0,1,0,1,0,1,0
106,BT,127,3,1,3,1,3,1
107,BT,1,0,3,0,3,0,3
108,BT,0,1,0,1,0,1,0
109,BT,127,3,1,3,1,3,1
110,BT,0,0,3,0,3,0,3
111,BT,0,1,0,0,0,1,0
112,BT,127,3,1,3,0,3,1
113,BT,0,0,3,1,3,1,3
114,BT,0,1,0,0,1,1,1
115,BT,127,3,1,3,0,3,1
116,BT,0,1,3,0,3,0,3
117,BT,0,1,1,0,0,1,0
118,BT,127,3,1,3,0,3,1
119,BT,0,0,3,0,3,0,3
120,BT,0,1,0,1,0,1,0
121,BT,127,3,1,3,1,3,1
122,BT,0,0,3,0,3,0,3
123,BT,0,1,0,0,0,1,0
124,BT,127,3,1,3,0,3,1
125,BT,0,0,3,0,3,0,3
126,BT,96,2,0,1,0,1,0
127,BT,127,3,2,3,1,3,1
128,BT,0,0,3,1,3,0,3
129,BT,122,2,0,1,1,2,0
130,BT,127,3,2,3,1,3,2
131,BT,0,0,3,0,3,0,3
132,BT,112,2,0,1,0,2,0
133,BT,127,3,2,3,1,3,2
134,BT,0,0,3,0,3,0,3
135,BT,96,2,0,1,0,1,0
136,BT,127,2,2,3,1,2,1
137,BT,0,0,2,1,3,0,2
138,BT,112,2,0,1,1,2,0
139,BT,127,3,2,2,1,3,2
140,BT,0,0,3,1,2,0,3
141,BT,0,2,0,0,1,1,0
142,BT,127,2,2,3,0,3,1
143,BT,0,0,2,1,3,0,3
144,BT,0,2,0,0,1,1,0
145,BT,127,3,2,3,0,3,1
146,BT,3,0,3,3,3,0,3
147,BT,32,2,0,0,3,2,0
148,BT,0,1,2,2,0,1,2
149,BT,127,2,1,3,2,2,1
150,BT,0,1,2,0,3,1,2
151,BT,94,2,1,1,0,2,1
152,BT,127,3,2,3,1,3,2
153,BT,0,0,3,0,3,0,3
154,BT,112,2,0,1,0,2,0
155,BT,127,3,2,3,1,3,2
156,BT,0,0,3,0,3,0,3
157,BT,0,1,0,0,0,1,0
158,BT,127,3,1,3,0,3,1
159,BT,0,0,3,0,3,0,3
160,BT,0,1,0,0,0,1,0
161,BT,127,3,1,3,0,3,1
162,BT,0,0,3,0,3,0,3
163,BT,0,1,0,1,0,1,0
164,BT,127,3,1,3,1,3,1
165,BT,0,0,3,0,3,0,3
166,BT,0,1,0,0,0,1,0
167,BT,127,3,1,3,0,3,1
168,BT,0,0,3,2,3,0,3
169,BT,0,1,0,0,2,1,0
170,BT,127,3,1,3,0,3,1
171,BT,0,0,3,1,3,0,3
172,BT,96,1,0,1,1,1,0
173,BT,127,3,1,3,1,3,1
174,BT,0,0,3,1,3,0,3
175,BT,96,2,0,1,1,2,0
176,BT,127,3,2,3,1,3,2
177,BT,0,0,3,0,3,0,3
178,BT,96,2,0,1,0,2,0
179,BT,127,2,2,2,1,2,2
180,BT,1,0,2,2,2,0,2
181,BT,96,2,0,2,2,2,0
182,BT,127,3,2,1,2,3,2
183,BT,0,0,3,2,1,0,3
184,BT,0,2,0,1,2,2,0
185,BT,127,2,2,1,1,2,2
186,BT,7,0,2,3,1,1,2
187,BT,0,2,0,0,3,2,1
188,BT,127,2,2,3,0,2,2
189,BT,127,2,2,3,3,2,2
190,BT,0,1,2,0,3,0,2
191,BT,0,1,1,2,0,1,0
192,BT,127,3,1,3,2,3,1
193,BT,1,1,3,0,3,0,3
194,BT,0,1,1,1,0,1,0
195,BT,127,3,1,3,1,3,1
196,BT,0,0,3,0,3,0,3
197,BT,0,1,0,1,0,1,0
198,BT,127,3,1,3,1,3,1
199,BT,1,0,3,1,3,1,3
200,BT,0,1,0,0,1,1,1
201,BT,127,3,1,3,0,3,1
202,BT,0,1,3,1,3,1,3
203,BT,0,1,1,1,1,1,1
204,BT,127,3,1,3,1,3,1
205,BT,0,0,3,0,3,0,3
206,BT,0,1,0,1,0,1,0
207,BT,127,3,1,3,1,3,1
208,BT,0,0,3,1,3,0,3
209,BT,96,2,0,1,1,2,0
210,BT,127,3,2,3,1,3,2
211,BT,0,0,3,0,3,0,3
212,BT,96,2,0,1,0,1,0
213,BT,127,3,2,2,1,3,1
214,BT,0,0,3,1,2,0,3
215,BT,120,2,0,1,1,2,0
216,BT,127,2,2,2,1,2,2
217,BT,0,0,2,0,2,0,2
218,BT,124,2,0,1,0,2,0
219,BT,127,3,2,3,1,3,2
220,BT,0,0,3,1,3,0,3
221,BT,96,2,0,1,1,2,0
222,BT,127,3,2,2,1,3,2
223,BT,0,0,3,1,2,0,3
224,BT,120,2,0,1,1,2,0
225,BT,127,3,2,3,1,3,2
226,BT,0,0,3,1,3,0,3
227,BT,112,2,0,1,1,2,0
228,BT,127,3,2,3,1,3,2
229,BT,0,0,3,1,3,0,3
230,BT,120,2,0,1,1,2,0
231,BT,127,3,2,3,1,3,2
232,BT,0,0,3,1,3,0,3
233,BT,96,2,0,2,1,2,0
234,BT,127,3,2,3,2,3,2
235,BT,0,0,3,0,3,0,3
236,BT,96,2,0,1,0,2,0
237,BT,127,3,2,2,1,3,2
238,BT,0,0,3,0,2,0,3
239,BT,32,2,0,0,0,2,0
240,BT,127,3,2,3,0,3,2
241,BT,1,0,3,1,3,0,3
242,BT,32,2,0,1,1,2,0
243,BT,127,2,2,2,1,2,2
244,BT,1,0,2,2,2,1,2
245,BT,32,2,0,0,2,2,1
246,BT,71,1,2,0,0,1,2
247,BT,127,2,1,3,0,2,1
248,BT,0,1,2,0,3,1,2
249,BT,126,2,1,0,0,1,1
250,BT,127,2,2,3,0,3,1
251,BT,0,1,2,0,3,0,3
252,BT,0,1,1,0,0,1,0
253,BT,127,3,1,3,0,3,1
254,BT,0,0,3,1,3,0,3
