,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
1538,CG,60397117,50374806,142673428,3286662096.0,315173.59,146,140,315109.73,2587389222,623023219,60803814,48424497,3213481840.0,63618414,33384991502.0,47456751,135192352,35840970501.0,3320334266.0,68590799,64536136,440000000000.0,33551846530.0,11.88,121.16,133.04
1539,CG,65444167,48887179,135495736,3389258140.0,316031.43,4384,4408,316507.19,2577264482,634258982,65632839,52274685,3134310987.0,62979267,33855688632.0,48207573,141725588,36104900490.0,3230852315.0,72221892,68200664,442000000000.0,34148970637.0,11.5,121.33,132.82999999999998
1540,CG,57498308,50076685,140370640,3068989865.0,316211.41,2511,2500,316192.16,2465105012,628571111,56536533,48786775,2995978806.0,59103347,33179979797.0,48955002,143011526,35608775072.0,2997648498.0,69943616,65616726,441000000000.0,33020130759.0,12.28,121.1,133.38
1541,CG,66770571,47896891,138412388,4155802524.0,315907.58,5820,5810,315221.83,3118093562,612741429,63777614,50116989,4092221338.0,66352026,33728151574.0,46637592,139202207,35902730518.0,4211552407.0,67590149,63188580,439000000000.0,33289692512.0,12.41,121.42,133.83
1542,CG,58434746,47444198,125633940,4551605784.0,314283.94,8282,8279,313989.72,3418765872,590613869,55967587,44155414,4727333253.0,57938760,32819059908.0,45627199,128125548,35815142827.0,4659418756.0,66081182,61641034,438000000000.0,32938413671.0,11.21,121.17,132.38
1543,CG,70179711,49294176,152446757,8423271737.0,312758.39,15938,15941,312771.06,5630270930,685111053,72853715,56274746,8331647061.0,70485659,38358853443.0,46410650,160944818,40540490938.0,8462782484.0,69821424,65180346,437000000000.0,38297851792.0,12.73,123.55,136.28
1544,CG,52886776,44852016,137892433,9612315752.0,312400.64,17339,17940,311081.29,6313560973,626083375,52181533,44344317,9509458865.0,53624874,38323478811.0,45876187,131276141,41219838840.0,9589829755.0,69277304,64604316,433000000000.0,38338872930.0,12.97,122.71,135.68
1545,CG,60574543,41664755,144173386,15587376160.0,308943.13,22555,21953,307540.39,9611059181,623085012,64239792,51212511,15508947483.0,61165376,43231458380.0,41137635,133874057,46845828732.0,15637647945.0,69290032,64669136,427000000000.0,43108196525.0,13.13,124.91,138.04
1546,CG,62234816,39568163,159038732,22494293228.0,305030.48,33666,33665,304567.65,13411862867,644958906,62716426,51013016,22834756644.0,64348407,52409000730.0,39437634,151494849,56240032046.0,22917459738.0,76230236,71170148,425000000000.0,52371957786.0,10.46,128.69,139.15
1547,CG,59503459,37368899,125658791,29392457227.0,303725.0,35269,35268,302950.95,17454951434,614398387,60430917,50285395,30068358908.0,60675394,60079571706.0,36569005,121198168,65037877197.0,30163480530.0,83401322,77872900,424000000000.0,60348091421.0,10.18,132.13,142.31
