,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
3779,FT,55141045,28768932,138254349,68456324146.0,300012.66,65724,66105,300077.44,38620395931,634048918,53933149,42921312,69035700374.0,58162600,111000000000.0,29433159,132835884,121000000000.0,69271869230.0,134644609,125716080,422000000000.0,113000000000.0,8.68,153.22,161.9
3780,FT,60148445,29315740,146358592,87157107007.0,302043.41,96837,96456,301799.97,47182695564,674190416,59895983,45766890,87265584750.0,61415897,139000000000.0,26897346,144877803,150000000000.0,87306020309.0,162775579,152018384,418000000000.0,140000000000.0,9.39,160.94,170.32999999999998
3781,FT,66170391,27937595,151291359,109000000000.0,301514.21,134070,134820,304456.82,57251294744,758536771,71201073,50372176,109000000000.0,72597551,176000000000.0,29633924,167309680,188000000000.0,108000000000.0,201083150,187505444,436000000000.0,173000000000.0,9.93,173.96,183.89000000000001
3782,FT,522822271,60590467,668235904,56195528842.0,312086.33,307507,306766,309988.16,28018435584,3395271296,607198072,569453932,56453211857.0,627252789,152000000000.0,55551995,683607626,163000000000.0,57392380677.0,190598476,178477138,428000000000.0,155000000000.0,13.29,161.3,174.59
3783,FT,1478627714,39170471,399480183,98800505521.0,305699.16,3530,3537,305597.23,44820066831,1790717221,1463906213,1398862235,98756199878.0,1472078718,199000000000.0,38709024,397178427,213000000000.0,98710316537.0,235841641,220045588,427000000000.0,198000000000.0,17.43,185.12,202.55
3784,FT,433314576,107983966,614490565,51004673802.0,351707.43,1595950,1641716,422537.44,27997740089,4877235695,394912567,388675783,65064958047.0,386805470,293000000000.0,180028265,1087375382,318000000000.0,65494984726.0,378143703,360663268,689000000000.0,329000000000.0,41.72,301.25,342.97
3785,FT,151952398,363839615,1551486682,40791156064.0,507180.85,240264,194800,507703.36,12703637057,11449622977,130898175,64648328,27798135128.0,128811741,339000000000.0,446398822,1601403603,364000000000.0,27704941334.0,454429492,424778676,739000000000.0,342000000000.0,51.7,328.55,380.25
3786,FT,130302644,450121759,1607680726,27681739467.0,531826.29,10966,10665,533843.72,12761563387,11845124188,129578478,61126927,27619275702.0,128906785,345000000000.0,453739646,1607035182,371000000000.0,28081196883.0,461244777,431705456,756000000000.0,349000000000.0,53.42,337.38,390.8
3787,FT,134877362,458224478,1660124680,28501002551.0,543210.89,19432,20149,545891.5,13034504620,12128462985,133551833,63641373,28555535855.0,133909433,351000000000.0,464824766,1661217661,377000000000.0,28544025401.0,468562482,436980334,759000000000.0,350000000000.0,53.74,338.55,392.29
3788,FT,133363282,462609721,1654226301,28168954314.0,542826.6,29479,30970,539593.3,12933845074,11959780201,129894657,63159732,28220003995.0,131122687,344000000000.0,458818876,1623514867,370000000000.0,28019940551.0,460056890,428246882,745000000000.0,343000000000.0,52.21,331.97,384.18
3789,FT,135257892,459238283,1639034409,27944808035.0,530281.53,423945,433725,527894.15,13064728065,11927723503,130330410,77040604,27826727370.0,132056730,336000000000.0,463028060,1624588911,365000000000.0,27728824871.0,454160334,424130616,740000000000.0,339000000000.0,51.6,330.46,382.06
3790,FT,137308399,464528164,1687664482,28061700780.0,530409.52,551523,551252,531720.68,13432684351,12158629186,137754735,82772436,28452725571.0,138859858,339000000000.0,467144261,1668707221,367000000000.0,28217558910.0,457925349,427374136,745000000000.0,342000000000.0,52.33,333.21,385.53999999999996
3791,FT,141392722,461536075,1679600138,28376226389.0,532903.17,523975,516502,494439.77,12218850445,10961048512,127657760,76525675,25073098162.0,124535968,293000000000.0,395034022,1429247472,312000000000.0,24093223058.0,379712359,348726714,589000000000.0,268000000000.0,40.89,261.04,301.93
3792,FT,121951956,325192336,1243163103,21730800991.0,374888.85,210571,207289,363664.97,9873157974,8285181030,115456774,69872000,20553020259.0,117480169,231000000000.0,288151923,1129705616,251000000000.0,20611114326.0,311944620,291237688,510000000000.0,235000000000.0,36.18,230.22,266.4
3793,FT,132744699,265838291,1118785842,21084048830.0,363776.47,31135,30225,363586.24,10067991387,8248316407,127705969,75070638,21089621026.0,131826238,230000000000.0,262880700,1105852357,249000000000.0,20965813221.0,309385357,288854006,506000000000.0,232000000000.0,35.66,228.24,263.9
3794,FT,134608013,259258442,1120676512,21164647531.0,362444.06,16310,16475,361660.85,10201565315,8269982702,131570096,76544756,21366783055.0,133556608,231000000000.0,260710072,1124432231,250000000000.0,21290735618.0,309881325,289045540,508000000000.0,234000000000.0,35.29,229.39,264.68
3795,FT,133930670,258311559,1143273070,21452954048.0,362705.2,39567,40652,362489.87,10116291160,8281104715,132267353,79816148,21444215996.0,134904190,231000000000.0,259032362,1140910693,250000000000.0,21450786205.0,309018215,288328810,503000000000.0,232000000000.0,36.17,228.56,264.73
3796,FT,133108681,253345038,1123022678,21361664675.0,360694.06,259723,264040,362772.9,10251470639,8329146707,131983133,85030447,21609933935.0,134675928,231000000000.0,256012482,1137140838,250000000000.0,21533493063.0,311326171,290818052,509000000000.0,233000000000.0,36.56,229.88,266.44
3797,FT,136660644,254722940,1144914771,21874689301.0,366645.7,406431,406561,369429.74,10789405110,8550832400,139571819,92208452,22433937743.0,139295163,238000000000.0,261648969,1181956823,257000000000.0,22386955530.0,320573514,298901120,520000000000.0,240000000000.0,36.85,235.95,272.8
3798,FT,141450725,257410195,1182262299,23544515894.0,369125.0,570985,574501,363987.55,11072903272,8489866146,137163326,96775070,23320501440.0,136376048,234000000000.0,251805482,1183166936,248000000000.0,23260168127.0,308385849,287659134,503000000000.0,231000000000.0,36.01,228.01,264.02
3799,FT,148291334,246905129,1286109461,26352521407.0,356177.73,1336591,1343382,348858.31,13879518085,8722234793,151538500,135248310,25886893632.0,149362757,222000000000.0,240560023,1288329839,235000000000.0,26001576645.0,291082453,270455682,472000000000.0,214000000000.0,34.09,214.3,248.39000000000001
3800,FT,172045684,172007717,1722476137,35070000948.0,328747.43,2127145,2121060,317585.34,19434465309,10331787298,163419510,165487170,33878122464.0,162484668,202000000000.0,149939844,1757341188,217000000000.0,33552078735.0,242748593,225576274,428000000000.0,198000000000.0,22.39,185.2,207.58999999999997
3801,FT,132632930,197810985,2964473393,39544522293.0,307806.08,1168034,1158047,304021.4,22273378034,17833414432,152755651,125386086,41146435180.0,156534261,195000000000.0,193317245,2964581460,209000000000.0,41551408890.0,235463668,219391984,420000000000.0,194000000000.0,17.77,187.85,205.62
3802,FT,811872239,61104116,1392437769,89579964383.0,297050.63,5683,5685,297731.16,57462539057,8147425319,809903929,574012157,89323708226.0,791773538,193000000000.0,58938899,1385605138,208000000000.0,89527876981.0,230124828,214920636,417000000000.0,194000000000.0,14.47,177.2,191.67
3803,FT,919923048,662628251,1682950373,44168402220.0,310899.24,101750,102059,330255.13,31509354151,11697715869,900026568,610276719,43220961839.0,881750445,220000000000.0,703854208,1839131834,237000000000.0,42741350269.0,284122003,267480290,492000000000.0,229000000000.0,28.92,231.85,260.77
3804,FT,108480185,270747473,1276768924,22045039086.0,355579.81,24224,23912,357206.82,9917539247,9446006052,97354162,47335154,22403161405.0,98568305,227000000000.0,265931224,1289819608,244000000000.0,22376067100.0,305365866,285849746,504000000000.0,230000000000.0,34.83,229.64,264.46999999999997
3805,FT,93289863,266380044,1290616813,22572938193.0,363524.91,12,140,365383.97,10347716504,9680741389,95449974,43912234,23184274768.0,95191610,232000000000.0,270806733,1324204239,251000000000.0,23165793394.0,312830613,291872392,513000000000.0,235000000000.0,35.85,234.43,270.28000000000003
3806,FT,96454301,274595781,1310284576,23290437479.0,365807.81,33316,33763,363661.93,10229820289,9627087469,92782213,43223078,22874571438.0,95208547,228000000000.0,269030982,1304148301,247000000000.0,22714267019.0,307128649,286172894,501000000000.0,228000000000.0,35.79,228.09,263.88
3807,FT,95088734,271202474,1300453087,22945659594.0,357684.77,72276,72750,357815.84,10217220082,9569446816,94106387,46391848,22674545264.0,94668318,225000000000.0,267800014,1313271292,244000000000.0,22551968438.0,304429702,284214518,500000000000.0,228000000000.0,35.58,228.21,263.79
3808,FT,97314939,277847005,1325759525,22757490403.0,356744.63,105999,106198,355977.18,10378217418,9573252121,97754485,49630392,22791432150.0,96791712,225000000000.0,269454407,1313717501,245000000000.0,22906334881.0,303952822,283502562,498000000000.0,228000000000.0,34.76,227.91,262.67
3809,FT,97022442,277595909,1309721989,22929136267.0,357561.7,170162,171123,356905.59,10483476704,9642714496,97970168,50389437,23052039395.0,97783712,226000000000.0,277649596,1312893912,243000000000.0,22996825543.0,302963341,282309160,494000000000.0,226000000000.0,34.17,225.29,259.46
3810,FT,109031563,276641399,1359170330,25990450818.0,351445.23,295990,297857,347969.93,11927594540,9628858716,112787305,70932332,26460504218.0,111351035,221000000000.0,273917848,1343784869,237000000000.0,26392712577.0,294363662,274814190,483000000000.0,219000000000.0,34.07,220.83,254.9
3811,FT,315214940,152448214,1707360151,42954960808.0,334225.51,312424,308348,318216.38,33533714377,9639586908,323575720,610652562,41451095109.0,319052485,201000000000.0,117175337,1567895228,213000000000.0,41477344407.0,241779875,223499556,417000000000.0,192000000000.0,19.76,178.31,198.07
3812,FT,393284725,20793183,1035384789,39859571260.0,296577.15,12,12,295677.61,40973040596,5495230044,398636545,850450794,39982031263.0,392775052,195000000000.0,19965581,1033241552,208000000000.0,39940839042.0,221475476,206656240,413000000000.0,194000000000.0,7.44,162.69,170.13
3813,FT,450126960,22281421,995804241,42951907993.0,296020.74,22927,23539,296087.27,41526143201,5149493375,504679979,905662091,45931828895.0,505123805,195000000000.0,22771894,963746929,208000000000.0,46274376671.0,222851634,208018524,414000000000.0,194000000000.0,7.74,165.26,173.0
3814,FT,1451604092,28060986,277436489,96411581344.0,296153.96,13377,12771,296059.6,44957140298,1355251355,1461480822,1376946974,97107975806.0,1438553842,193000000000.0,27519728,277082016,206000000000.0,97063623681.0,226814144,211703212,414000000000.0,192000000000.0,11.75,182.29,194.04
3815,FT,749093774,77206596,587585373,73134259032.0,311835.02,1593743,1594891,336637.72,32718252169,3863674580,701194019,687883465,72390585423.0,679489343,222000000000.0,131390003,779089877,239000000000.0,72035193647.0,293317273,276651466,508000000000.0,234000000000.0,25.09,234.35,259.44
3816,FT,91153475,306930696,1119651023,19275307252.0,366567.64,14269,13115,367915.39,8717875393,8173253303,92702935,43895632,19697359047.0,91745863,241000000000.0,312466920,1142160136,256000000000.0,19514850842.0,317786875,297089842,521000000000.0,241000000000.0,36.83,238.28,275.11
3817,FT,91512428,318945086,1148701197,19293528546.0,373254.94,2,2,371685.53,8848678536,8179823926,89867097,42300465,19287628133.0,89720706,236000000000.0,312081358,1121740935,253000000000.0,19209155567.0,314675336,293256544,513000000000.0,234000000000.0,36.1,232.35,268.45
3818,FT,88015524,312906444,1119047690,19217295596.0,365220.52,3049,3053,365775.33,8788684789,8098658520,89328989,42996843,19157284060.0,88910058,234000000000.0,309245651,1114041905,252000000000.0,19092421972.0,312544039,291717510,510000000000.0,234000000000.0,36.33,232.59,268.92
3819,FT,88540998,308930085,1095049331,19119662936.0,366174.76,1620,1618,365519.28,8765766535,8074421842,87411204,43019402,19262857857.0,91267525,233000000000.0,311207228,1095963111,253000000000.0,19315087095.0,313868895,293371246,514000000000.0,236000000000.0,36.35,234.92,271.27
3820,FT,91584943,308668322,1112481412,19392097923.0,367694.57,9510,9968,367585.96,8914716152,8144318257,89089362,43758079,19237690787.0,90711090,233000000000.0,311083444,1115620324,251000000000.0,19236454040.0,311884433,290560228,510000000000.0,233000000000.0,36.45,232.76,269.21
3821,FT,89491102,308245257,1106282627,19108103391.0,364264.53,6485,6118,365837.15,8877574231,8140853457,89655032,43155685,19360947039.0,90015435,232000000000.0,311232423,1121043894,253000000000.0,19141869567.0,315565460,294931980,518000000000.0,238000000000.0,36.83,236.79,273.62
3822,FT,92011858,313793317,1121909272,19152451045.0,372519.86,6459,6578,371285.97,8819073957,8192209121,88566659,41911825,19354860373.0,88895402,234000000000.0,309613959,1124729347,252000000000.0,18879359033.0,313803499,292472236,511000000000.0,234000000000.0,35.71,232.95,268.65999999999997
3823,FT,88253993,307071627,1126438211,19107121694.0,365243.74,8858,8646,365105.86,8822061745,8072215856,87365126,43328073,19020837615.0,89157972,232000000000.0,308469081,1107413634,250000000000.0,18927595462.0,311051643,290342150,510000000000.0,233000000000.0,36.0,233.03,269.03
3824,FT,89080422,302728922,1129721260,19339929193.0,365751.03,1224,1224,364961.0,8710256129,8106127708,89294293,44614861,19277320434.0,89649106,234000000000.0,310234886,1124131440,250000000000.0,19400997077.0,310810996,290304462,511000000000.0,235000000000.0,36.05,234.12,270.17
3825,FT,88242016,299639239,1097918809,19099828894.0,365242.9,13363,13734,365773.73,8559392716,8098479594,88500136,42563077,19252926775.0,89561893,235000000000.0,308171315,1110264391,250000000000.0,19122064552.0,311408823,290528854,510000000000.0,233000000000.0,35.6,233.01,268.61
3826,FT,115788557,271098780,1133446116,20515024891.0,365212.67,20195,20097,365692.91,9734069318,8294228925,120527802,70082070,21038197959.0,122143816,235000000000.0,271742269,1150893791,252000000000.0,20890997281.0,312948609,292559946,515000000000.0,236000000000.0,35.68,237.07,272.75
3827,FT,135417709,263835130,1156826747,21726654108.0,368565.2,13282,13040,367388.8,10254095537,8391859519,132866578,77847745,21538596655.0,134471789,234000000000.0,261210338,1159690470,251000000000.0,21427957535.0,310189328,288968750,507000000000.0,233000000000.0,36.0,233.13,269.13
3828,FT,130643163,260226344,1135174346,21266832300.0,363002.29,7201,7519,363744.1,9843809529,8279351943,129701903,74921124,21205571564.0,130670999,233000000000.0,259388088,1142415611,249000000000.0,21197939284.0,309998884,289334052,508000000000.0,232000000000.0,35.59,233.35,268.94
3829,FT,134796311,262030421,1153542203,21580749645.0,364433.57,18159,17937,363661.65,10008129576,8348552270,134414221,79415294,21576502629.0,133476753,235000000000.0,260152165,1165138438,251000000000.0,21553424456.0,310661873,289918790,509000000000.0,235000000000.0,35.56,235.06,270.62
3830,FT,131764413,258467217,1130230876,21052358580.0,363597.06,77317,77439,363165.19,9867355938,8320201573,129328175,76684670,21325095857.0,131590975,230000000000.0,252977472,1134430765,248000000000.0,21183674208.0,308380425,287702702,504000000000.0,230000000000.0,35.8,232.27,268.07
3831,FT,131806555,249313029,1119390207,20940265161.0,360219.57,193908,196645,361770.86,9970359740,8336556499,129926418,79001273,21280622760.0,130962241,229000000000.0,253576035,1138450394,247000000000.0,21180432599.0,309212461,288632456,508000000000.0,232000000000.0,35.44,233.73,269.16999999999996
3832,FT,136504371,253649506,1158226614,21720776924.0,363923.48,313131,317606,362365.46,10459197416,8411718458,132405835,85535666,21718621872.0,135730979,228000000000.0,251115458,1145749890,247000000000.0,21656507869.0,307310598,286775468,504000000000.0,230000000000.0,36.0,232.64,268.64
3833,FT,153363871,244971341,1314933040,27005474956.0,353407.49,2454498,2458311,340579.79,14812111268,8813145375,143388044,164739489,27847374342.0,150636529,208000000000.0,227492027,1328806194,227000000000.0,27695263262.0,276952217,256813284,456000000000.0,206000000000.0,32.53,211.33,243.86
3834,FT,138962709,208427534,3580734786,47375199972.0,318783.72,2526509,2515721,310783.49,23452248160,21571485624,121466010,145599589,46236309242.0,124865844,195000000000.0,188778004,3618206484,214000000000.0,46055628208.0,237722145,221000598,425000000000.0,197000000000.0,21.49,195.97,217.46
3835,FT,376021028,78271863,2599758527,60606446443.0,302663.98,53148,52662,300110.62,36247599489,15780130341,371323895,252968356,62511774445.0,400045848,189000000000.0,72138737,2419847810,207000000000.0,62419767843.0,228269381,212847838,413000000000.0,191000000000.0,12.34,172.89,185.23
3836,FT,846304007,90865132,1392712579,84778394465.0,296228.02,4659,4661,297603.42,55683998378,7672710187,768186740,535607354,85364940688.0,830878007,190000000000.0,100256098,1416060798,208000000000.0,85373911903.0,235171757,219754724,420000000000.0,195000000000.0,14.91,184.44,199.35
3837,FT,719856733,708470139,1671571725,26482022191.0,314900.15,236153,237184,336121.92,18493807627,12799144530,643509092,438412197,25516954469.0,673391393,220000000000.0,745630427,1799279014,241000000000.0,25337430537.0,296890854,279709164,504000000000.0,234000000000.0,34.09,246.86,280.95000000000005
3838,FT,110202177,279003695,1307455843,22630045178.0,362874.95,7320,6287,362118.39,10037220271,9600676110,95820926,46733164,22514629474.0,97550621,225000000000.0,270202541,1296298847,246000000000.0,22372007215.0,305635251,284969468,500000000000.0,228000000000.0,35.34,231.63,266.97
3839,FT,93929685,263899210,1286827293,22256097093.0,357552.78,2,2,358510.49,9977824779,9453281042,89099201,41541027,22503872382.0,91793535,223000000000.0,263473732,1285743019,244000000000.0,22396354004.0,304006486,283747352,500000000000.0,228000000000.0,35.3,231.92,267.21999999999997
3840,FT,95219616,265488014,1294468330,22572257146.0,359283.94,4,4,358304.56,10153323532,9539565713,93164417,43524447,22822409785.0,93651804,225000000000.0,265383431,1305289179,246000000000.0,22819209320.0,306121917,285705714,503000000000.0,230000000000.0,35.86,234.3,270.16
3841,FT,94102815,269848940,1284117742,22476096646.0,359452.16,312,312,359910.54,9977886947,9551848270,88437768,40042566,22619885281.0,92279533,224000000000.0,265547364,1285731826,246000000000.0,22475248962.0,306629773,286143816,503000000000.0,229000000000.0,35.32,232.85,268.17
3842,FT,95136789,268487448,1299630949,22660161237.0,359991.85,317,317,360483.53,10131499439,9615920042,92347332,42563170,22949554509.0,94770921,226000000000.0,267833763,1315066668,247000000000.0,22917850452.0,308547530,288589728,509000000000.0,233000000000.0,36.17,237.33,273.5
3843,FT,98038167,272175956,1326132055,23142447999.0,365756.31,571,572,365439.52,10354620850,9722720915,94848852,44117042,23123299782.0,97354174,228000000000.0,270043033,1320225379,250000000000.0,22964601055.0,310298728,289163154,504000000000.0,231000000000.0,36.44,234.13,270.57
3844,FT,92707815,264227822,1290009027,22924672392.0,358609.98,14801,15905,358810.35,9884590797,9675146434,85418068,40444527,23257573100.0,86575880,226000000000.0,258491699,1306214430,245000000000.0,23238153215.0,305840189,285658058,502000000000.0,229000000000.0,35.72,235.29,271.01
3845,FT,72850085,230336094,1323735556,24867424446.0,362304.02,53674,52576,363436.48,9948524145,9916198991,75861309,46386041,24608879220.0,74468337,230000000000.0,236862174,1322495450,250000000000.0,24322421481.0,311856409,291391758,510000000000.0,234000000000.0,35.65,241.99,277.64
3846,FT,87786306,255736185,1223642648,21911439281.0,364025.28,5293,5287,363127.63,9566052142,9115789351,86925298,42338847,21924559766.0,88373262,230000000000.0,256951713,1251911254,248000000000.0,21791099786.0,308974999,287873194,506000000000.0,231000000000.0,35.35,234.67,270.02
3847,FT,90611130,254372994,1220969070,21767616588.0,360158.87,4574,4575,361215.53,9392053393,9062813669,88057750,41548847,21696950029.0,88120203,230000000000.0,258786993,1247043507,247000000000.0,21518440182.0,308011080,287476112,503000000000.0,230000000000.0,36.05,233.23,269.28
3848,FT,92216525,257164051,1229571222,21581438214.0,360797.41,1702,1849,359838.31,9705890463,9029584276,90894799,43556010,21701497013.0,90552351,227000000000.0,258781151,1242226833,247000000000.0,21513597248.0,306864756,286640228,504000000000.0,231000000000.0,36.28,233.95,270.23
3849,FT,88401446,256300259,1196411057,21053186126.0,361048.34,4524,4375,360733.95,9450718409,9010603517,87190141,39929298,21473450739.0,88194827,226000000000.0,258209867,1222296462,246000000000.0,21422481163.0,306703500,286133876,504000000000.0,229000000000.0,35.6,233.21,268.81
3850,FT,92293476,256136605,1219256640,21467988646.0,362064.56,2994,2994,365220.91,9727961722,9181435047,93497074,43608307,21996445792.0,91781087,232000000000.0,262460868,1271860535,251000000000.0,21942170174.0,312604239,291682174,511000000000.0,233000000000.0,36.0,237.33,273.33000000000004
3851,FT,93277504,257734162,1223973989,21765544522.0,366391.27,7771,7854,364297.55,9770396752,9084289702,91012086,43520063,21754364675.0,90079131,228000000000.0,259792209,1239467919,247000000000.0,21657794630.0,308575133,287946274,506000000000.0,231000000000.0,35.43,234.81,270.24
3852,FT,90116369,253637963,1203855605,21461784312.0,361114.35,54632,57740,359119.23,9709343594,9061398414,88436896,42842043,21526506750.0,88656720,226000000000.0,262909491,1239786358,244000000000.0,21409023837.0,304407792,284088560,500000000000.0,226000000000.0,35.0,231.68,266.68
3853,FT,130954514,263631818,1301406321,32193301841.0,346348.1,802114,805414,342032.65,14778019652,8982037546,129254465,88512762,32833056357.0,125287131,220000000000.0,249448547,1237177613,239000000000.0,33439989000.0,278410160,259907690,487000000000.0,232000000000.0,31.3,220.14,251.44
3854,FT,109900485,137392363,506535373,38424108871.0,363131.78,707940,701572,365808.43,14897990754,3079427846,115242419,80196193,39616530033.0,109776261,242000000000.0,123912760,484518370,261000000000.0,39167657397.0,267241065,250395068,503000000000.0,241000000000.0,16.72,198.92,215.64
3855,FT,169109228,176943844,658699263,49448739171.0,419092.43,1198883,1198875,414729.45,21597769781,4961575323,197066083,112787791,49970496943.0,179962185,275000000000.0,203094590,723830103,296000000000.0,49873884402.0,312489347,288533098,554000000000.0,263000000000.0,22.45,224.37,246.82
