,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
5379,IS,94998712,34061172,139649107,55440574863.0,300955.96,38682,38267,300563.85,34425569307,709842386,93721806,82035501,55454319232.0,99544526,90475475043.0,38071095,138760891,98517022484.0,55611638551.0,112846114,105344764,419000000000.0,92334746364.0,9.99,146.86,156.85000000000002
5380,IS,91670900,39217395,140556702,65967905270.0,299813.82,88590,88777,299327.23,40264933503,769364453,83925702,73556205,66313813480.0,95645274,105000000000.0,39407639,145333974,115000000000.0,66292700601.0,128571310,120086414,418000000000.0,107000000000.0,10.12,152.92,163.04
5381,IS,97295932,37091560,149487132,81023548313.0,299032.67,69001,68904,299383.69,47828020118,739987045,93763558,77514819,81846593816.0,103473616,128000000000.0,35094080,146470442,140000000000.0,81904261375.0,153107062,142943696,418000000000.0,131000000000.0,10.12,159.86,169.98000000000002
5382,IS,147061470,32348472,162698019,98357426844.0,299868.98,96188,96534,299839.24,56807236761,763800164,139938792,118466175,99713879007.0,154956385,157000000000.0,31600029,169388865,171000000000.0,100000000000.0,184992510,172791962,422000000000.0,161000000000.0,9.43,169.39,178.82
5383,IS,174833374,46901498,308291278,94460489366.0,304206.2,368373,369070,304603.03,51417322466,1445000214,154516068,164058745,92960242365.0,176447032,171000000000.0,48204014,318748246,187000000000.0,92619970161.0,203888285,190439228,426000000000.0,174000000000.0,11.2,169.93,181.13
5384,IS,53018408,28453526,191469623,81964185386.0,302627.41,26229,25101,302497.14,29023678573,813484841,52626172,44567296,81944069724.0,55294529,197000000000.0,26040930,183793199,214000000000.0,81721591132.0,229100003,213811220,422000000000.0,199000000000.0,10.98,178.03,189.01
5385,IS,44235341,25999981,164890317,81952923545.0,301768.33,1385,1388,301404.65,28874299938,775115373,53812567,48585934,81782546738.0,46765670,196000000000.0,26709449,159035722,213000000000.0,81802562599.0,227427644,212214016,421000000000.0,198000000000.0,12.31,178.07,190.38
5386,IS,48442159,38479482,298618147,82580707719.0,321309.06,58463,59465,332851.6,29939336394,2924637641,58810517,59031271,84948959866.0,55139128,220000000000.0,100065789,815235165,239000000000.0,85311354094.0,270414889,253853656,488000000000.0,228000000000.0,19.32,209.94,229.26
5387,IS,218271149,429237683,1998831076,37762700306.0,346337.69,259776,258767,353042.02,20734607779,7186424150,220188202,213319285,31409088286.0,217788558,223000000000.0,480072729,1638618900,242000000000.0,30328310404.0,304155132,284476276,504000000000.0,228000000000.0,34.19,206.75,240.94
5388,IS,47164144,681835641,1179172588,13977084213.0,351492.44,12237,12305,340090.08,8026015868,4001418491,48094541,74398986,17591300840.0,47552896,205000000000.0,603141621,1220491138,220000000000.0,18441832133.0,285941295,265451004,450000000000.0,200000000000.0,32.12,181.99,214.11
5389,IS,219116217,407210227,1823472529,39969179535.0,323885.04,229010,228943,333108.81,23306187571,7816820294,220455571,286657875,36074759033.0,222512925,215000000000.0,453648658,1752339409,234000000000.0,35298526233.0,291306384,273237342,489000000000.0,223000000000.0,29.08,201.24,230.32
5390,IS,43436207,672579731,1124880484,12403516493.0,347675.15,16105,16125,339016.67,7104030888,3753115908,45348028,64861459,15381866323.0,45951742,203000000000.0,610817079,1153615996,220000000000.0,15902378408.0,287819691,267431724,451000000000.0,201000000000.0,31.83,181.89,213.71999999999997
5391,IS,250945730,371070247,1888207058,45655100068.0,326298.16,209976,209958,334244.51,27325650757,8385487447,249352597,323046398,43056990986.0,258421473,216000000000.0,414875145,1855399587,235000000000.0,42089879275.0,287658234,269576090,486000000000.0,223000000000.0,30.09,201.88,231.97
5392,IS,37570621,660988904,1097714582,10270021879.0,347132.91,6522,6796,341868.6,5545469816,3460744229,38381075,44752032,12264131857.0,38114622,209000000000.0,629406235,1095514636,224000000000.0,12804196312.0,295419825,275087638,466000000000.0,208000000000.0,32.95,187.2,220.14999999999998
5393,IS,203744491,416459516,1922828431,41666710691.0,333848.9,180177,180422,338410.9,24252461654,7869408297,207529168,287091995,39661164504.0,206991309,211000000000.0,430188857,1855240853,226000000000.0,38895393748.0,280443988,262453296,474000000000.0,212000000000.0,29.67,196.84,226.51
5394,IS,37191740,635347919,1059099322,10032305727.0,339168.95,43740,43513,335235.94,5339522524,3275007998,38204477,43294221,11746154953.0,37347874,209000000000.0,626340799,1088397062,223000000000.0,12174878811.0,292697449,272358590,463000000000.0,206000000000.0,31.75,186.25,218.0
5395,IS,182066968,416275902,1910225795,38142755336.0,332775.9,114561,114538,335161.06,21936119726,7627176018,187219487,296303744,36390467727.0,187198486,207000000000.0,433441430,1846134988,221000000000.0,35952189874.0,278092448,260183392,477000000000.0,210000000000.0,31.86,197.48,229.33999999999997
5396,IS,38823736,642525348,1092413118,10232436070.0,341457.39,55431,55763,338686.44,5601336763,3379745892,40978784,46738325,12130117511.0,40185112,213000000000.0,637011718,1124426070,227000000000.0,12614815306.0,298149669,277830658,469000000000.0,210000000000.0,32.75,189.23,221.98
5397,IS,240566730,383692325,2071699495,47966636215.0,337302.24,263379,263057,338936.13,28015687810,8895468121,242113483,327346865,46313937246.0,245083894,216000000000.0,404182841,1986989207,230000000000.0,45693729391.0,282076035,264501314,482000000000.0,218000000000.0,30.15,201.11,231.26000000000002
5398,IS,38564504,650728189,1032310306,9667031590.0,345007.2,40109,40033,346513.96,5363682018,3378397914,41192387,43774199,11503511829.0,40692082,218000000000.0,654695869,1121245760,232000000000.0,11952654270.0,305499531,284155536,481000000000.0,215000000000.0,34.41,194.37,228.78
5399,IS,245350545,393338883,1946101999,47103170187.0,341721.94,210523,210520,341162.5,28280265706,8464598977,246441945,362580794,44820052002.0,243811359,216000000000.0,398631889,1918445670,230000000000.0,44255689354.0,279054894,260392916,473000000000.0,214000000000.0,28.74,197.32,226.06
5400,IS,38464251,645889502,1005332532,9041728112.0,340331.98,35246,35312,341233.64,4949075589,3151870284,39843868,42181457,10587233118.0,40206366,217000000000.0,653715576,1089438217,231000000000.0,10842311388.0,305364447,285234362,484000000000.0,216000000000.0,34.09,195.12,229.21
5401,IS,245243018,399836019,1976423742,47755650042.0,345887.14,223347,223273,344484.77,28397350459,8589069380,245417161,363071447,45794638628.0,243799235,215000000000.0,391911337,1941879884,228000000000.0,45276068948.0,277530634,258845244,472000000000.0,212000000000.0,30.6,198.05,228.65
5402,IS,47540289,651005498,1018004175,8939928279.0,341072.82,2164,1968,340256.84,5145548277,3080678059,49841128,52113225,9869708060.0,49864091,210000000000.0,642761455,1055722618,228000000000.0,10073069274.0,299703747,279499066,474000000000.0,211000000000.0,33.38,190.52,223.9
5403,IS,239210502,402973594,1986697608,47221856703.0,333997.49,160729,160728,335351.84,27817852874,8629692176,252840110,335315601,46571804642.0,250450149,210000000000.0,401948060,1965166877,228000000000.0,46514069546.0,277757324,259429506,472000000000.0,214000000000.0,29.99,198.63,228.62
5404,IS,54352881,653625745,1053174160,9107321147.0,339027.15,5607,5622,336545.2,4824300331,2922848343,49837163,52337650,9251591597.0,48898903,211000000000.0,637770336,1048756340,226000000000.0,9470220665.0,297779615,278291874,471000000000.0,212000000000.0,31.05,189.51,220.56
5405,IS,207725844,428798039,1979723740,43575386159.0,338619.98,116650,116679,340312.1,25315836895,8257002462,233339887,328330468,42831463854.0,222253587,216000000000.0,429749773,1961162038,230000000000.0,42793586434.0,284887886,266040096,481000000000.0,216000000000.0,31.78,201.87,233.65
