,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
5449,LU,61205069,30386731,147918376,62116910325.0,305670.29,90720,90601,304421.18,34839889761,672766595,68731204,57933929,62311723801.0,62859278,103000000000.0,31068044,147778083,111000000000.0,62404988626.0,125750535,117418042,424000000000.0,104000000000.0,10.01,148.98,158.98999999999998
5450,LU,61191768,27937820,156670813,81686934767.0,303262.44,81731,81771,302967.08,44666357127,695939016,66782783,59596788,81727419268.0,65748402,132000000000.0,29430511,159790966,141000000000.0,81999626487.0,154543634,144363198,423000000000.0,132000000000.0,9.23,159.22,168.45
5451,LU,67563484,28415127,163629756,98297397385.0,302252.32,107183,107342,302124.38,52469324086,693947639,69390447,59958800,98976300074.0,70368520,158000000000.0,28434761,158238769,170000000000.0,99058698450.0,182731002,170657760,422000000000.0,159000000000.0,10.06,166.34,176.4
5452,LU,108748536,49905245,353911670,98489053155.0,302782.51,386281,386097,303805.86,46071549917,1450585654,113499873,117464934,99779869067.0,110542936,178000000000.0,50912782,376958490,191000000000.0,99931348142.0,212449068,198432290,426000000000.0,179000000000.0,11.27,177.6,188.87
5453,LU,76466916,167931946,1085659351,65848593083.0,360623.41,414303,419230,413810.5,26069026369,12699869638,107803183,86514309,72075215546.0,104595634,272000000000.0,256240515,1608010159,290000000000.0,71845612450.0,358980678,335779192,595000000000.0,274000000000.0,38.1,275.0,313.1
5454,LU,140234665,233670160,2260296674,73518590510.0,373422.41,79881,75069,322604.85,27785105546,14524526908,123732988,130775369,66939666108.0,117337309,205000000000.0,164037038,2026305063,218000000000.0,66874521619.0,262396640,244468602,438000000000.0,201000000000.0,26.87,204.02,230.89000000000001
5455,LU,108181365,161874284,2289837540,99812234734.0,324821.39,179985,180196,338595.08,40989318989,14896671539,122399307,86112176,102000000000.0,118590723,228000000000.0,185674424,2524438860,247000000000.0,103000000000.0,309647665,300241088,579000000000.0,270000000000.0,30.43,279.63,310.06
5456,LU,125932625,177215447,1664542222,105000000000.0,473819.14,121083,122901,511940.1,39044489797,17252525608,150389762,175712616,104000000000.0,150175767,322000000000.0,235053425,1871534819,341000000000.0,103000000000.0,402809875,364621922,623000000000.0,282000000000.0,36.62,285.83,322.45
5457,LU,140072639,227959865,2979992586,115000000000.0,374308.11,44708,44330,323504.94,44484764718,14605874905,120715972,95544967,113000000000.0,116442781,224000000000.0,182892551,2762729452,241000000000.0,114000000000.0,285244417,267985116,497000000000.0,227000000000.0,24.96,241.69,266.65
5458,LU,110083373,189726176,2148992306,75226118415.0,357749.61,98260,96535,356496.34,30012746665,15734628994,101570196,67490100,73590351526.0,94367923,209000000000.0,170542658,2085115233,222000000000.0,73383170132.0,267039266,247564226,439000000000.0,201000000000.0,29.06,208.51,237.57
5459,LU,107838625,168553923,2229553032,97831170250.0,324763.58,100386,100322,335354.01,39832335060,14500333566,117972529,79278861,98162025072.0,114632726,218000000000.0,183392866,2328066655,235000000000.0,97260716958.0,288026536,271549152,500000000000.0,229000000000.0,27.95,242.5,270.45
5460,LU,119826983,181641049,2546300908,89060926747.0,345435.95,38195,38197,332902.42,35164156031,15511541840,115787680,80070953,85454559082.0,109702255,206000000000.0,173817808,2327327440,221000000000.0,85809074594.0,259917833,239626198,427000000000.0,195000000000.0,23.59,202.02,225.61
5461,LU,99580860,180842556,1855528200,75817969041.0,324585.93,111829,111853,353271.79,30199339257,14545946339,108146978,68437271,75057633187.0,106684089,229000000000.0,219554163,2017922840,249000000000.0,75164504985.0,307741537,288298136,514000000000.0,237000000000.0,30.11,245.84,275.95
5462,LU,113107831,196985387,2823919976,110000000000.0,347909.46,8638,8739,319619.52,45347848536,14991914997,109665360,78532596,110000000000.0,109903350,196000000000.0,151180126,2567664606,212000000000.0,110000000000.0,249244995,231783020,427000000000.0,195000000000.0,22.61,208.39,231.0
5463,LU,91808879,179378543,1652771172,55485743556.0,304759.47,36817,36785,303514.53,23525737578,13537012828,93678100,59961533,55021993159.0,96092453,191000000000.0,166435560,1642058075,209000000000.0,55289838629.0,255319342,238186606,424000000000.0,194000000000.0,28.38,200.43,228.81
5464,LU,106519803,156269987,2540921411,109000000000.0,303340.21,15560,17166,320752.23,44242681921,14404358065,111085768,78763620,108000000000.0,113252020,205000000000.0,174201378,2511178405,225000000000.0,108000000000.0,271035871,254483852,472000000000.0,216000000000.0,26.09,230.69,256.78
5465,LU,101210315,190218321,1970980163,67004133140.0,339526.33,35804,34172,323317.9,27478846124,14300925956,96150336,62246603,67958092910.0,93382720,200000000000.0,168222243,1912541817,216000000000.0,68319742161.0,261003768,241906994,427000000000.0,197000000000.0,22.96,203.78,226.74
5466,LU,103406987,170164701,2220672397,95889103194.0,311630.99,103101,103496,320348.4,39757766510,13528222631,110639764,75275544,97454235994.0,111329068,203000000000.0,174599432,2223476693,222000000000.0,97167728295.0,269999361,253436204,469000000000.0,215000000000.0,24.87,230.42,255.29
5467,LU,101433114,181506423,2291491164,80809027673.0,333272.79,45388,44976,322527.83,31973398006,15329504378,94500585,66595868,77853292670.0,96175252,201000000000.0,162243298,2203544310,217000000000.0,77830383002.0,258999129,240284310,428000000000.0,195000000000.0,27.07,201.71,228.78
5468,LU,105060921,166619389,1995920172,83909935554.0,313848.03,58646,58675,338814.36,34168062972,14106848908,107215859,72157426,82900653561.0,109000014,221000000000.0,201130699,2055465435,241000000000.0,82426652703.0,296870215,279882330,510000000000.0,235000000000.0,31.36,248.02,279.38
