,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
6557,MG,65788419,33600671,137768920,49114354494.0,302775.0,60657,60956,301822.82,27842561092,638057112,62638084,47608776,48876346452.0,60344306,86999716234.0,32492906,141551284,91724096238.0,49211862252.0,108088428,100927932,421000000000.0,86577178764.0,9.34,141.58,150.92000000000002
6558,MG,67281114,29967300,136610917,63511577548.0,300817.51,48084,48110,300781.82,35734324881,637120696,63001757,44615555,62918823149.0,58071475,104000000000.0,27549731,139918411,111000000000.0,63008248337.0,125249477,116870516,420000000000.0,104000000000.0,9.56,149.29,158.85
6559,MG,62906719,28373612,152781650,74196610826.0,299988.27,62098,61765,298559.19,40687089365,686968667,65422401,47989278,73955287950.0,62721656,120000000000.0,27384569,157462341,128000000000.0,73835563930.0,141537509,132135906,416000000000.0,119000000000.0,9.55,155.18,164.73000000000002
6560,MG,70601659,28831592,146974328,90907492480.0,298832.07,105482,105726,299925.65,48746141487,723939621,67523413,49116784,91807380667.0,70302049,148000000000.0,28341795,157340379,158000000000.0,92273611624.0,171496412,160258322,422000000000.0,148000000000.0,9.36,165.76,175.12
6561,MG,75936549,28196407,157430097,111000000000.0,302525.86,85844,86037,302610.77,57335697275,726708155,76016667,49979635,111000000000.0,77882774,179000000000.0,27764782,150275698,192000000000.0,111000000000.0,204692134,191158170,422000000000.0,179000000000.0,9.26,173.2,182.45999999999998
6562,MG,155828189,108540122,812131565,47453316779.0,362765.93,422829,422570,370455.36,28192822133,4678423212,177553496,199520760,50572147956.0,174417467,228000000000.0,132839111,996363891,245000000000.0,49795601666.0,291329375,272121612,521000000000.0,229000000000.0,23.99,210.38,234.37
6563,MG,130517903,217119225,1884485691,43780499532.0,337812.59,188725,188651,352886.62,20802285898,15011927577,130649549,144450929,45340154426.0,130681977,242000000000.0,222729313,2135271445,263000000000.0,46313344487.0,318651969,300702934,551000000000.0,261000000000.0,33.15,239.23,272.38
6564,MG,111310478,217758843,2577154831,52403798200.0,403699.44,100539,101662,396816.35,22888611686,20784113882,109323893,71803865,52917078100.0,108855082,267000000000.0,248932859,2999114980,293000000000.0,53492513865.0,357744010,338903404,603000000000.0,280000000000.0,40.54,274.07,314.61
6565,MG,146850967,274651759,2709152209,48051238472.0,430170.17,92624,91433,421627.13,20921095542,16524918805,142727519,138413038,45592189811.0,136669597,248000000000.0,231555500,2140439559,263000000000.0,43742327874.0,310608069,281571920,495000000000.0,230000000000.0,27.86,216.91,244.76999999999998
6566,MG,106573885,184529831,2054421008,46256884202.0,365861.71,85206,85287,374059.37,22531685752,17999460801,119401280,92539774,49401826223.0,112881879,252000000000.0,210456710,2510844800,272000000000.0,49370244548.0,325784085,306510778,549000000000.0,255000000000.0,31.85,244.4,276.25
6567,MG,124079037,233760760,3090629967,56808575855.0,365405.24,60386,60303,372926.61,24682292819,19886478779,122956784,83804557,52634200958.0,118547915,239000000000.0,208298524,2704598216,258000000000.0,52528267178.0,303596197,284591720,519000000000.0,243000000000.0,33.4,233.45,266.84999999999997
6568,MG,86591284,228718108,2636462129,45014471506.0,370048.28,40107,40109,370094.56,18126174075,22789936663,90454321,56749640,45207142163.0,80119348,237000000000.0,242566488,2985910262,255000000000.0,45254392463.0,307639307,284652844,499000000000.0,229000000000.0,34.48,229.5,263.98
6569,MG,110664118,193700128,2279625242,46590289780.0,363539.29,57189,65743,365120.2,23318293147,17121360457,112227751,75118504,48089766905.0,112719845,233000000000.0,196830487,2313866226,254000000000.0,48826486143.0,301816507,283769178,521000000000.0,244000000000.0,36.22,236.34,272.56
6570,MG,86421350,256690135,3053138065,50042721087.0,377715.09,93140,84597,384644.02,22694213330,21039839437,96686163,65866341,51245751411.0,96876612,254000000000.0,224856207,2770785145,275000000000.0,50783338151.0,324163475,302274770,542000000000.0,255000000000.0,36.6,244.58,281.18
6571,MG,89340694,220536764,2561878776,46231397262.0,379596.74,39327,39344,371446.18,17786089580,21940249825,76267754,52905713,45038717772.0,75653526,238000000000.0,242608706,2904970234,257000000000.0,44840773566.0,314065783,291555852,513000000000.0,236000000000.0,35.46,236.38,271.84
6572,MG,90664053,199979374,2281039980,43287924205.0,374201.53,21605,22890,379642.91,20624743728,17597486566,94476743,62004022,45120091977.0,95035290,247000000000.0,215816502,2359724525,266000000000.0,45516203648.0,318062914,299040910,540000000000.0,254000000000.0,36.99,245.31,282.3
6573,MG,91968476,245472465,3111625158,50503098216.0,381486.32,45920,45007,381891.05,22706317991,20881430607,94035278,63863445,50777059653.0,93286338,253000000000.0,220837972,2753223251,268000000000.0,49842462217.0,314981422,293047608,528000000000.0,246000000000.0,35.27,238.19,273.46
6574,MG,93044053,217704147,2680999364,47437719324.0,373765.26,79336,80455,368106.44,17878976910,22335753619,78720004,57040468,45701685737.0,80976454,240000000000.0,240675591,2973521458,258000000000.0,45909793807.0,314447325,291889486,510000000000.0,235000000000.0,34.05,235.91,269.96
6575,MG,89337660,193913945,2287515277,42832165121.0,364079.13,57675,56138,366919.13,20244307698,17120024369,88091291,59790374,43492231439.0,89108039,239000000000.0,204562078,2256167943,255000000000.0,43248281818.0,300620427,281300488,513000000000.0,241000000000.0,34.54,232.67,267.21
