,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
6735,SP,57966014,28689313,133258546,55405679498.0,304315.46,60427,61307,304115.42,32177889826,627544521,60892677,44765962,56461052799.0,59232882,95077179501.0,30255119,132136988,102000000000.0,56420803397.0,116918790,109189052,426000000000.0,95633950978.0,8.98,148.13,157.10999999999999
6736,SP,67653452,30303232,166022150,73827150822.0,304187.83,71319,70856,303119.63,41977019208,705839676,75191539,50906049,73481870488.0,64593664,118000000000.0,30403012,167174596,126000000000.0,73854944759.0,140021769,130706842,422000000000.0,118000000000.0,11.2,157.89,169.08999999999997
6737,SP,61717918,26090873,147959091,86522857649.0,302199.39,59795,59384,301721.32,47282538974,665742932,68119212,46056890,85959637516.0,64261333,136000000000.0,24596854,144941290,145000000000.0,86111850914.0,158525579,147993356,421000000000.0,135000000000.0,7.84,162.86,170.70000000000002
6738,SP,70294789,25798811,157237046,101000000000.0,301395.12,93927,93926,301499.08,54101048251,724468335,78942905,52774490,101000000000.0,72414222,162000000000.0,26493972,166776701,172000000000.0,102000000000.0,186018215,173740546,421000000000.0,161000000000.0,8.49,169.76,178.25
6739,SP,111319907,42429994,330823133,100000000000.0,304253.14,352616,352629,311570.13,51622018656,1723251089,137129843,113478791,97979169313.0,139782589,189000000000.0,50230636,417946843,201000000000.0,98235499396.0,218722122,204854188,446000000000.0,191000000000.0,10.09,179.71,189.8
6740,SP,160893603,108514826,847693073,75970994591.0,319300.42,364753,365800,314730.94,32343533481,4601696211,145871215,131337397,80851083605.0,143384393,198000000000.0,108347771,845797722,213000000000.0,81113598704.0,258831245,241318224,434000000000.0,197000000000.0,18.0,196.42,214.42
6741,SP,115001325,203447312,1358233020,58845896401.0,336769.99,891427,913828,383250.69,25938368429,13914491188,141179439,123290422,61668066553.0,140592343,260000000000.0,287258791,1857307086,288000000000.0,62688300890.0,364052917,347675776,646000000000.0,303000000000.0,44.78,299.48,344.26
6742,SP,154963469,363908435,1908971914,58000389035.0,464117.26,276122,253904,441884.32,25371188061,14773316415,143145171,78575768,56484399472.0,142042894,274000000000.0,334529261,1780918306,296000000000.0,55001896674.0,364213929,335283508,562000000000.0,254000000000.0,38.38,245.07,283.45
6743,SP,140538151,231315286,1407443894,69198794228.0,409801.43,447738,452590,428114.99,30732384492,12892789993,144991911,161617056,70769848960.0,147127609,274000000000.0,263715151,1548570263,298000000000.0,70105987653.0,362546447,336940940,599000000000.0,274000000000.0,37.85,270.93,308.78000000000003
6744,SP,114476761,323510778,1667361237,43132041520.0,404069.52,304355,299736,374320.67,18680235677,12869920838,105105045,69147336,41558544312.0,104797219,232000000000.0,269729637,1406409050,248000000000.0,41113955296.0,307337819,287981078,506000000000.0,233000000000.0,35.32,225.97,261.29
6745,SP,117453679,287342145,1619332151,43850635536.0,366719.24,170149,170750,376340.44,18646736391,13464503674,121110666,69127355,41005778992.0,118764858,237000000000.0,297943717,1566097207,253000000000.0,40304612538.0,317228231,295802262,516000000000.0,235000000000.0,35.91,228.22,264.13
6746,SP,101000235,283008258,1575870575,38103772198.0,373326.5,214247,212694,378025.74,17010394247,13557476752,95765955,68219015,38813365491.0,101651188,242000000000.0,286198764,1466955504,261000000000.0,38820860567.0,324529458,302611092,526000000000.0,241000000000.0,36.71,235.93,272.64
6747,SP,110450108,289272621,1467327944,43072289866.0,372460.5,267368,275854,369268.19,19396810784,13098326512,115001752,68494520,43070378788.0,116965305,239000000000.0,287154066,1599545644,258000000000.0,43665082697.0,324606013,303286382,531000000000.0,243000000000.0,36.76,235.96,272.72
6748,SP,107232358,294184653,1646652003,34989432445.0,379503.86,291921,284386,374835.06,15957126418,14021720786,101531002,73951926,35476929170.0,101994988,235000000000.0,285753083,1572671084,252000000000.0,35650874575.0,310861402,290179918,512000000000.0,235000000000.0,36.22,232.08,268.3
6749,SP,107723097,276548099,1387254033,42704231076.0,361550.13,119046,118778,356946.41,18032887708,11596293145,105784909,58668234,41085662553.0,105821030,228000000000.0,279032022,1397386121,245000000000.0,41975956066.0,306191916,285226774,495000000000.0,226000000000.0,34.39,219.78,254.17000000000002
6750,SP,105321667,273096300,1587493131,36965728179.0,359481.62,212248,213023,362659.56,16276609224,13953453204,105551623,73582917,36517909529.0,107390202,233000000000.0,281316934,1614142112,250000000000.0,35864446099.0,311276733,291158252,513000000000.0,235000000000.0,35.75,231.28,267.03
6751,SP,103614995,271932569,1494985616,40676036460.0,355781.03,124711,123541,349038.02,18717952288,12370625593,106402720,61467371,42691731447.0,107460408,228000000000.0,257405013,1456302554,245000000000.0,42696712274.0,302933542,282860844,494000000000.0,229000000000.0,33.93,222.94,256.87
6752,SP,103465517,271804643,1435726420,38066866389.0,365201.7,80372,81669,373691.09,16088033585,12723266249,106591925,60433035,35801614326.0,105103135,237000000000.0,301973987,1495265353,250000000000.0,35326487625.0,313372156,291691064,508000000000.0,231000000000.0,35.3,225.39,260.69
6753,SP,94138795,270189202,1536623364,36211212566.0,366224.88,113546,112665,372184.82,15944672855,13579151758,95436860,64148807,37190665822.0,97545671,242000000000.0,281698173,1470381368,257000000000.0,37050722558.0,320026713,298599406,519000000000.0,239000000000.0,35.88,234.58,270.46000000000004
6754,SP,104165459,281316855,1443713230,41462652443.0,365717.74,155219,160532,358278.69,17717389080,12446855397,103291822,58104596,40338977642.0,104457480,229000000000.0,274191764,1505742556,244000000000.0,40046153098.0,306864929,286886768,506000000000.0,230000000000.0,34.77,225.94,260.71
6755,SP,103744937,281228348,1596744426,33198670990.0,367835.78,221015,217110,370253.55,15737742955,14491219330,103890470,73725255,35362082371.0,104076843,240000000000.0,293239081,1605458516,259000000000.0,35346600911.0,321233993,299751676,523000000000.0,241000000000.0,36.13,237.21,273.34000000000003
